Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
OTR Green acres	f604520784a2979de9db8b896579e48fa9154e25	-34.86104852001683	138.65633103512977	AUS	South Australia	5087	40203103835	Port Adelaide Enfield (C)	1.2359057216725156	-34.86095952001683	138.6564800351211	AUS	South Australia	5087	40203103835	Port Adelaide Enfield (C)	1.246343105695285
OTR Green acres	0430c9f91f1621ab047f6359c5e9b772b75af798	-34.83850898138621	138.66304506254386	AUS	South Australia	5093	40203103701	Salisbury (C)	2.637518153849213	-34.829186981386215	138.66988005178126	AUS	South Australia	5092	40205105232	Tea Tree Gully (C)	3.3898400538603686
OTR Green acres	57bf54e894455fb0a2f6c0dfe896f100930f6f2f	-34.852236359842806	138.63466784968247	AUS	South Australia	5085	40203103730	Port Adelaide Enfield (C)	1.2821726895361398	-34.8522403598428	138.6346718496781	AUS	South Australia	5085	40203103730	Port Adelaide Enfield (C)	1.281866282221014
OTR Green acres	56f0c369aa15ee4c04ec2244be375997a91931b2	-35.148283346926114	138.5163614753239	AUS	South Australia	5163	40304107912	Onkaparinga (C)	20.405998357224888	-35.148285346926116	138.51637547532079	AUS	South Australia	5163	40304107912	Onkaparinga (C)	20.405860900267893
OTR Green acres	833b6e87ba8ba16eeccdf10840c9af00eeddde50	-34.83442748255529	138.68613732435858	AUS	South Australia	5092	40205105213	Tea Tree Gully (C)	3.707707837658897								
OTR Green acres	0242e086b0117002a16800dd0a1ab45f1bcd9b89	-34.856736527172245	138.6356955685326	AUS	South Australia	5085	40203103730	Port Adelaide Enfield (C)	0.9658298479391615	-34.856756527172244	138.63581256854172	AUS	South Australia	5085	40203103730	Port Adelaide Enfield (C)	0.9636145117360774
OTR Green acres	a629f18ea845aeeba0ee511078abd5a2e2b69330	-34.870457130868495	138.66013677567625	AUS	South Australia	5075	40104101522	Campbelltown (C) (SA)	1.261289008273152	-34.87912613086849	138.63423773811002	AUS	South Australia	5087	40203103806	Port Adelaide Enfield (C)	0.6268058356957618
OTR Green acres	c7611da911d600a74a4cfb250a0b4b60a1eda9e3	-27.57012183153314	152.95846882978822	AUS	Queensland	4076	31001127107	Brisbane (C)	984.6553440392147	-27.57011383153314	152.95846982980214	AUS	Queensland	4076	31001127107	Brisbane (C)	984.6557071524943
OTR Green acres	c205d4520ceafa30b3afec64d288aa3a95c08dc4	-34.87357913144461	138.6130823884426	AUS	South Australia	5083	40203103638	Port Adelaide Enfield (C)	1.4242734812869227	-34.87357013144461	138.6130863884256	AUS	South Australia	5083	40203103638	Port Adelaide Enfield (C)	1.4239584397805585
OTR Green acres	e0b7f627ba8c32d94a97fd07ca176b959fba5b35	-34.85882965898298	138.65068539520024	AUS	South Australia	5086	40203103821	Port Adelaide Enfield (C)	1.0891309668244598	-34.85881165898298	138.65067839522268	AUS	South Australia	5086	40203103821	Port Adelaide Enfield (C)	1.0897963613898811
