Polygon ID	Device ID	Resident	Worker	CEL Lat	CEL Lng	CEL Country	CEL State	CEL Zip	CEL Census Block ID	CEL Metro	CDL Lat	CDL Lng	CDL Country	CDL State	CDL Zip	CDL Census Block ID	CDL Metro	Commute Distance
Midura Central	ba7ead088967d173c346e357f2f1db3a650a9aad	false	true	-34.20560891635006	142.11966382413405	AUS	Victoria	3500	21502147011	Mildura RC	-34.20775591635006	142.13947081646225	AUS	Victoria	3500	21502147012	Mildura RC	1.1427545640197885
Midura Central	f16e274ae7c8db5eee149a8bd46e35c08d8c6b2d	unknown	true								-34.207484171370346	142.13936593905584	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	e190a3f713c379a6e812057fa15ec9efb2bc5ac8	unknown	true								-34.20701016450138	142.1380700858725	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	853fc20c85994fdc95e7635cf11b0825a39398b8	true	false	-34.20699346370278	142.13934030605395	AUS	Victoria	3500	21502147012	Mildura RC	-34.19835346370278	142.14694129720883	AUS	Victoria	3500	21502147003	Mildura RC	0.7390879369350823
Midura Central	4d11ca386d79df439b357ebeb25cea3b13d519a5	unknown	true								-34.206943198553546	142.1388264819477	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	3c3d68fabd7d7e4114fbc14e0556653bf92626f3	unknown	true								-34.207184559036705	142.13978391688124	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	76452cda74c3e44eb13385277296f444f8b6b076	true	unknown	-34.20727628515577	142.13864191616395	AUS	Victoria	3500	21502147012	Mildura RC								
Midura Central	0edc5034f8241935c5d1fe550d3291f44a6ef41b	unknown	true								-34.2074764261679	142.13856611920102	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	443d215102b6d0fd242f2e99bbcb331c1e45b56c	true	unknown	-34.206898759862625	142.1389312690121	AUS	Victoria	3500	21502147012	Mildura RC								
Midura Central	fb0e6ce867434524bf22ec871ae20165d94d3650	false	true	-34.18898826124739	142.1446079553972	AUS	Victoria	3500	21502146916	Mildura RC	-34.20658626124739	142.13899589631444	AUS	Victoria	3500	21502147012	Mildura RC	1.258898481817219
Midura Central	9d8ac6ef77d14461f9c8ce4e885a9ebc27be39aa	false	true	-34.20486143174629	142.1398207064414	AUS	Victoria	3500	21502147012	Mildura RC	-34.20789643174629	142.14037770419833	AUS	Victoria	3500	21502147012	Mildura RC	0.21233746028056474
Midura Central	6e6b41af59525cd1df78593212fe3022288e245c	false	true	-34.30631670837523	142.22393094123012	AUS	Victoria	3496	21502139911	Mildura RC	-34.20695170837523	142.1389334053932	AUS	Victoria	3500	21502147012	Mildura RC	8.417489224024605
Midura Central	77238931d8636e37885acd89b170424af995d93c	false	true	-34.177968048342684	142.1033413185455	AUS	Victoria	3500	21502147004	Mildura RC	-34.206916048342684	142.13907638594594	AUS	Victoria	3500	21502147012	Mildura RC	2.86176885308895
Midura Central	8a54aa398e6907dd7095fb40ee34b6a8a280d41f	unknown	true								-34.20848114183408	142.14013005005845	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	037179c1a642280a74529c049db2b3b32e064842	false	true	-34.19701411245922	142.16184246515405	AUS	Victoria	3500	21502146922	Mildura RC	-34.20674111245922	142.13870847997777	AUS	Victoria	3500	21502147012	Mildura RC	1.4846679320801324
Midura Central	bf26ab962e89ccd976939ee7439e56f623bac1cf	true	false	-34.20663241037319	142.13835237180461	AUS	Victoria	3500	21502147012	Mildura RC	-34.18733841037319	142.16922139528583	AUS	Victoria	3500	21502146921	Mildura RC	2.213620608541116
Midura Central	40b4e7a8be47594438fe94edf04e2ff33252ae17	false	true	-34.23206478145087	142.1667992101126	AUS	Victoria	3498	21502139514	Mildura RC	-34.208398781450875	142.14049722634476	AUS	Victoria	3500	21502147012	Mildura RC	2.223258138637177
Midura Central	5e079330a4a5c1a07024aed009f5d8b0db5ebbc7	false	true	-34.2010075859928	142.16826672907683	AUS	Victoria	3500	21502146935	Mildura RC	-34.2069535859928	142.13850070352214	AUS	Victoria	3500	21502147012	Mildura RC	1.7517927991616375
Midura Central	117844e5a8c1033895a6dae8b5ef3a4ff331e2ce	true	true	-34.20828461524893	142.1404025089354	AUS	Victoria	3500	21502147012	Mildura RC	-34.208358615248926	142.14043850907285	AUS	Victoria	3500	21502147012	Mildura RC	0.0055173687029404705
Midura Central	76a4527ea62939a99ac9db794a8a532e328f6af2	false	true	-34.21380397587896	142.15016955887546	AUS	Victoria	3500	21502147022	Mildura RC	-34.20668697587896	142.1391645558726	AUS	Victoria	3500	21502147012	Mildura RC	0.7991491015786054
Midura Central	65efeaea0a8bcffcc80231c5eafe2b8b82dbca34	unknown	true								-34.20710624478881	142.13915079615492	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	6ce93207ca17dc61efe82bc8af0f0182a0940687	unknown	true								-34.20706542444941	142.13937129317142	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	9f7e4b25896d98ca520653fb29cd223a84d87ed0	false	true	-34.218561389535175	142.13115045173868	AUS	Victoria	3500	21502147005	Mildura RC	-34.20746138953517	142.13949649580422	AUS	Victoria	3500	21502147012	Mildura RC	0.9041136098207445
Midura Central	4b4de8e4d2e66cc2673b66d4a2f1fdaac9cf36d3	unknown	true								-34.20728233038356	142.13880632259742	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	a777e6adb1232170638aa5077f0c1620ddc73e35	true	unknown	-34.20720832624451	142.13888200460616	AUS	Victoria	3500	21502147012	Mildura RC								
Midura Central	ddb0bb471cbef2967e361452a3d087f7a54bf334	false	true	-34.18895624353873	142.1518614011829	AUS	Victoria	3500	21502146932	Mildura RC	-34.20679024353873	142.13944147763368	AUS	Victoria	3500	21502147012	Mildura RC	1.4236010074006868
Midura Central	b0922008a4a4706061007a4e881b39ca6d5e0786	unknown	true								-34.20751081954501	142.13929419958566	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	a68b3bae6c3dfbbfefced9206e5f9a2f8d0bc21c	unknown	true								-34.207230284503105	142.1387319176393	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	e19da9de2f616fafcc3100bd92d681b4b03bf7ae	false	true	-34.16958637545449	142.14144722814632	AUS	Victoria	3500	21502146923	Mildura RC	-34.20710237545449	142.13889329231225	AUS	Victoria	3500	21502147012	Mildura RC	2.5991200983071163
Midura Central	6da94bdd520a05e38a0dc612e71d58bb09544d15	false	true	-34.29214857788661	142.2289199671185	AUS	Victoria	3496	21502139902	Mildura RC	-34.206918577886604	142.13860906230883	AUS	Victoria	3500	21502147012	Mildura RC	7.837029229402193
Midura Central	e1234fabbe35c5bb9990b032331df2f1125d09b6	unknown	true								-34.207950906611785	142.14083414220892	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	5c6ea8b5e03dabe9a8925dd2aee21886fed0cbb9	true	unknown	-34.20652024662167	142.1389085261597	AUS	Victoria	3500	21502147012	Mildura RC								
Midura Central	a2ba172c82152cb124e0032dc1cc1a1264ac57d8	true	false	-34.20756839324358	142.13893094708163	AUS	Victoria	3500	21502147012	Mildura RC	-37.05904239324358	146.0917832147842	AUS	Victoria	3722	20401105711	Mansfield S	297.0778090832139
Midura Central	efa7cb881e5247f19706f09e2ac7d8a0dd49e3f8	false	true	-34.229120465870864	142.16376910715482	AUS	Victoria	3498	21502139501	Mildura RC	-34.20693846587086	142.139122131609	AUS	Victoria	3500	21502147012	Mildura RC	2.0836502525436247
Midura Central	f04c71aafd210d03a67dd5064e29371a415d5ef7	unknown	true								-34.20720238014483	142.13865393504005	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	b3792ca52313ac1a96c65ebdab0c28d827a81954	true	true	-34.208172228013474	142.14026355073952	AUS	Victoria	3500	21502147012	Mildura RC	-34.208234228013474	142.14027355073773	AUS	Victoria	3500	21502147012	Mildura RC	0.004326568224730166
Midura Central	2b25559895fa5d628439f980bfc52919928e2f32	false	true	-34.279263584482266	142.09293311433157	AUS	Victoria	3498	21502139502	Mildura RC	-34.208270584482264	142.1397933587317	AUS	Victoria	3500	21502147012	Mildura RC	5.594096941563682
Midura Central	2600983401b3cbe39f700778bcfd5946e06b31c1	true	unknown	-34.20730944766008	142.13856082680368	AUS	Victoria	3500	21502147012	Mildura RC								
Midura Central	09eb6fad5c3218fa99d5b8e69ce51fd6406e8628	true	unknown	-34.20718586819908	142.13853203314304	AUS	Victoria	3500	21502147012	Mildura RC								
Midura Central	2fad2cd902157c0973ec068ac69c324ffa4d35da	false	true	-34.18847734140583	142.1707542799675	AUS	Victoria	3500	21502146905	Mildura RC	-34.20682334140583	142.13906723476512	AUS	Victoria	3500	21502147012	Mildura RC	2.2128790452421305
Midura Central	4e186a4c1a830c291a1d541d790905384d8ed35f	true	unknown	-34.20727841744605	142.13969526959934	AUS	Victoria	3500	21502147012	Mildura RC								
Midura Central	2cd09c919c6a82ef2acc1018c1c1de36fdbd0c44	unknown	true								-34.207520189396114	142.13908458754923	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	257f8bb734efac4d8bb575751271bcf806695707	unknown	true								-34.20824370735768	142.1400861890681	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	7b6d6b9d57eed168c50b5b04d6a9d684a2691c28	unknown	true								-34.208134113988244	142.14062180650498	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	640c6fb70bcb312507fdd28331ccdc5dc1742d0b	false	true	-34.20743480071598	142.1587507284517	AUS	Victoria	3500	21502146902	Mildura RC	-34.20734780071598	142.14037672865123	AUS	Victoria	3500	21502147012	Mildura RC	1.0510972294827936
Midura Central	3007d1489f03cfd36ee4b69cd4f87796eebe76f0	false	true	-34.19835184537567	142.16472592705853	AUS	Victoria	3500	21502146922	Mildura RC	-34.20824484537567	142.1399729100321	AUS	Victoria	3500	21502147012	Mildura RC	1.5727355950101947
Midura Central	59063e3c195aa6755a1ac158e009fff632085327	unknown	true								-34.20707542845922	142.1385878667895	AUS	Victoria	3500	21502147012	Mildura RC	
Midura Central	47438e4b8420d8f27b6e46ef72821574aa054f7d	unknown	true								-34.2070068895676	142.1387827019557	AUS	Victoria	3500	21502147012	Mildura RC	
