Polygon ID	Hashed Device ID	Generator Evening Lat	Generator Evening Long	Generator Daytime Lat	Generator Daytime Long
Midura Central	d8fbd4ae273701b144c69718f7940038857105de				
Midura Central	83cdeb817d4bffac5eeba1716456d09a27e0a532	-34.171253469311061	142.186624468476	-34.171222575144512	142.18647468689787
Midura Central	a3ca9f84c6004c4649c4398bcc7c1a6cb57fc698				
Midura Central	c90bd0837110ec6aeb54b2566bfb17ffed109acb	-34.003045422222222	141.92326497777779	-34.030214464912284	141.9538446754386
Midura Central	44a88400dc5c927d989fd53a9ddad52292aff036	-34.175291238784368	142.15142019536904	-34.175297476426799	142.15139628535979
Midura Central	96947bd566263d4bf862f3bd565296ffe9b85076	-34.167821241206035	142.14210225125629	-34.167782435028251	142.14211278531073
Midura Central	119b9f7e81fcfa37322e4088157584cf745841f8			-34.334443	142.40432000000001
Midura Central	b39ed48356ef1cfc5e0aaf43db983d5d44251dd0				
Midura Central	0858a6b5a1e35c12735b00faca7a1f106951420f	-34.167618583333336	142.05970024999999		
Midura Central	a5857ab8934c5e9d32ba8dae2fbc799908c18fd4	-34.203238874666667	142.15368109333332	-34.203258872053873	142.15412285858585
Midura Central	2d9cb8c6801ff336b50103918572f84cda50b242	-34.181140028425659	142.15578386637512	-34.181121039772727	142.15566301420455
Midura Central	1ccd659ee856221f8b48ffd6b5eb073603f5d891	-34.180724176795579	142.14210351381215	-34.180649859375002	142.14199042187499
Midura Central	da6b8a4a659e7913fbc43752305b673a865eadce	-34.235763778812576	142.03463705820721	-34.235720609981513	142.03462932347503
Midura Central	d1cd211817a923110fdc3c1ba78dd52f1feebae8	-34.19687588888889	142.18273888888888	-34.196855937499997	142.18274625000001
Midura Central	481200e8c394caff05502c42c50437d80721656e			-34.333409000000003	142.18061399999999
Midura Central	5d9b208ceb782f27a0f0616be7b4ec5f71f26e26	-34.171833178423235	142.14620343983404	-34.185595974358975	142.14363652564103
Midura Central	9276f18e9cabbd93ab72846b65b598bf8400d85e	-34.106102708708711	141.92195651351352	-34.106323409691633	141.92176351541849
Midura Central	7a8309c0c2bdd947b68d259d1dd9ab5da1a038c3	-34.24464973484686	142.20934697922468	-34.217806333489243	142.14908798503274
Midura Central	fcbb310fa056d0c73f593e5c47a076df75901690	-34.205636470588239	142.13931590196077	-34.205886204545457	142.13954452272728
Midura Central	ede31d39c8558b6f9b8e730894b5d51c04a63ec4	-34.20466425	142.14613850000001	-34.169622500000003	142.07051150000001
Midura Central	c99e369ac2cf8ca07b9fc8bd1bed2605c7f81ed2				
Midura Central	7893434478f5977b71eccf0b97c17cf149465067	-34.182459999999999	142.17021865517242	-34.182459999999999	142.17021873611111
Midura Central	9142392c50d1840cadcc06cbb3fa45e5c675a6a3			-34.228082380000004	142.16867772000001
Midura Central	63b53bf5b6d9d2f8a69e49dcc0cc3bae6c9314ad	-34.099092079415499	142.06286761054639	-34.099099350344829	142.06284016965517
Midura Central	073ae0ee91d4d8c841f615a7e22e5179d191a32c				
Midura Central	fb6306df12fceb60e71cfa2be1b0b5398d50e46b	-34.188407514563103	142.15784452427184	-34.188682533333335	142.15769246666667
Midura Central	516c08b21e97626c3c237af54491e0940439ef6d	-34.202019248360351	142.11993511508476	-34.187454734517523	142.14830691550648
Midura Central	05ec8e3e9c46ff6c26f8cba6db4e8e793565e405	-34.297061206209726	142.18714339015818	-34.172020000000003	142.15999479999999
Midura Central	8d98820e985d4ddc270fd308a09b09e7f48863bd	-34.169665556701034	142.05191343298969	-34.169663849206351	142.05190421428571
Midura Central	381b47f1ad4368ffd9ccaaf5c1fbe6ecc7177f8c	-34.198957702482417	142.15970928643725	-34.198959625073712	142.15972290647483
Midura Central	7739f717e1bed46ef30d0e181960ea42c29e8b3b			-34.180592769230771	142.16855103846154
Midura Central	3ec549dc7ef3ea6fb574af823e8a07d2e33aadfa				
Midura Central	376ad6e19c1263687b01d2a7ad218dfdcc5449ac	-34.204398290617846	142.1203602957666	-34.20436854719388	142.12034094642857
Midura Central	8a1afcc817c1fa4281aa0723f5598dd8cdc160dd				
Midura Central	466c8d74e35ad57c56b3ac2f804e6f98e420c0ca	-34.190444343115125	142.15390105530474	-34.187482759493669	142.16124996518988
Midura Central	8ce5da463cdb45a44aa151ca4aa1dd770c9a2202	-34.181702961722486	142.15978731100478	-34.181658946488291	142.15996478929765
Midura Central	af2d27d0324924de224a1e3ed538de81a8f1ef5f	-34.199131253246755	142.17849164177488	-34.198974366279067	142.17868544573645
Midura Central	dbf4dbbdfec42380452ff21deb6267acee0be1ae			-34.276097999999998	141.53915866666668
Midura Central	314544b6a049f5cf1da476d7f63acfc0729c1539	-34.214207530612242	142.13129873469387		
Midura Central	37fec22f546c811b07084797c2a2586a44e50f9d	-34.200400122807018	142.15312976608186	-34.200335147982067	142.15315170403588
Midura Central	67145aa28c3b3c081312e2a65968b8ef46549697			-34.223399989583335	142.10636805208333
