Hashed Device Id	Common Evening Lat	Common Evening Long	Common Daytime Lat	Common Daytime Long
d8fbd4ae273701b144c69718f7940038857105de	-34.60832616513683	138.68939040263444	-34.64497916513683	138.90047337188295
83cdeb817d4bffac5eeba1716456d09a27e0a532	-34.17162001111425	142.18664245984172	-34.17162101111425	142.1866384598417
a3ca9f84c6004c4649c4398bcc7c1a6cb57fc698	-37.67911695494497	144.89735709054375	-37.67910895494497	144.89752209059273
c90bd0837110ec6aeb54b2566bfb17ffed109acb	-33.926074524987534	151.2557307742121	-33.926060524987534	151.25556777416315
44a88400dc5c927d989fd53a9ddad52292aff036	-34.19556290911603	142.16502190198204	-34.19555490911603	142.16501990197352
96947bd566263d4bf862f3bd565296ffe9b85076	-34.20912776508764	142.13879478593825	-34.167737765087644	142.14206082774461
119b9f7e81fcfa37322e4088157584cf745841f8	-36.66259402374084	144.34693097262448	-36.74709902374084	144.31948699019674
b39ed48356ef1cfc5e0aaf43db983d5d44251dd0	-37.66722639436569	144.537087715295	-37.66720739436569	144.53707271533167
0858a6b5a1e35c12735b00faca7a1f106951420f	-33.77587797674366	150.98845343968867	-34.16794297674366	142.05951640655076
a5857ab8934c5e9d32ba8dae2fbc799908c18fd4	25.12670344482219	121.78500083497131	25.05897944482219	121.54135273324526
2d9cb8c6801ff336b50103918572f84cda50b242	-34.181631894652895	142.15557143545797	-34.181640894652894	142.15558043543282
1ccd659ee856221f8b48ffd6b5eb073603f5d891	-34.180611556337425	142.14179260228352	-34.180594556337425	142.14178860234063
da6b8a4a659e7913fbc43752305b673a865eadce	-34.23596936715592	142.03504204115774	-34.23597136715592	142.03503604116736
d1cd211817a923110fdc3c1ba78dd52f1feebae8	-34.21119940686174	142.14561536130503	-34.19703040686174	142.18314729620008
481200e8c394caff05502c42c50437d80721656e	-37.82780370345779	140.80980682422873	-37.82790470345779	140.80966082414227
5d9b208ceb782f27a0f0616be7b4ec5f71f26e26	-34.1717531927378	142.14627709888234	-34.185492192737804	142.14374111306591
9276f18e9cabbd93ab72846b65b598bf8400d85e	-34.10605383746985	141.9217606728961	-34.106057837469855	141.9217706728812
7a8309c0c2bdd947b68d259d1dd9ab5da1a038c3	-34.24473882988327	142.2092900357019	-34.24474082988327	142.20931703569892
fcbb310fa056d0c73f593e5c47a076df75901690	-34.181466440413	142.1603563426495	-34.205602440412996	142.139041353339
ede31d39c8558b6f9b8e730894b5d51c04a63ec4	-34.20462007312991	142.14615425440812	-34.16957907312991	142.07053324558026
c99e369ac2cf8ca07b9fc8bd1bed2605c7f81ed2	-34.58498386131717	142.7808154660105	-34.584988861317164	142.78082146603387
7893434478f5977b71eccf0b97c17cf149465067	-38.06022615903405	145.44686734759821	-38.07104415903405	145.47172227962812
9142392c50d1840cadcc06cbb3fa45e5c675a6a3	-34.22788328766456	142.16831682485022	-34.982666287664564	138.512816773415
63b53bf5b6d9d2f8a69e49dcc0cc3bae6c9314ad	-34.098957985613744	142.06250436391886	-34.09894298561374	142.06244636397588
073ae0ee91d4d8c841f615a7e22e5179d191a32c	-37.731235217739055	142.0360822474088	-37.73124221773906	142.036078247405
fb6306df12fceb60e71cfa2be1b0b5398d50e46b			-37.827880183962634	144.83762653090952
516c08b21e97626c3c237af54491e0940439ef6d	-34.201746062505556	142.11987106499797	-34.18714106250555	142.14813808230508
05ec8e3e9c46ff6c26f8cba6db4e8e793565e405	-33.19055106211156	138.00768432487428	-35.02751706211156	142.2936665196737
8d98820e985d4ddc270fd308a09b09e7f48863bd	-34.16974105617061	142.05212864231976	-34.16974005617061	142.05212464231707
381b47f1ad4368ffd9ccaaf5c1fbe6ecc7177f8c	-34.19886557063978	142.1602994268447	-34.198864570639785	142.16030342683837
7739f717e1bed46ef30d0e181960ea42c29e8b3b	-27.096251614663075	152.9318206672472	-27.096250614663077	152.93182466724832
