Date	Polygon	Observed Devices
2020-05-10	Midura Central	66
2020-05-11	Midura Central	69
2020-05-12	Midura Central	79
2020-05-13	Midura Central	62
2020-05-14	Midura Central	79
2020-05-15	Midura Central	93
2020-05-16	Midura Central	92
2020-05-17	Midura Central	85
2020-05-18	Midura Central	81
2020-05-19	Midura Central	66
2020-05-20	Midura Central	79
2020-05-21	Midura Central	77
2020-05-22	Midura Central	91
2020-05-23	Midura Central	122
2020-05-24	Midura Central	61
2020-05-25	Midura Central	71
2020-05-26	Midura Central	79
2020-05-27	Midura Central	89
2020-05-28	Midura Central	78
2020-05-29	Midura Central	88
2020-05-30	Midura Central	102
2020-05-31	Midura Central	69
2020-06-01	Midura Central	95
2020-06-02	Midura Central	92
2020-06-03	Midura Central	80
2020-06-04	Midura Central	81
2020-06-05	Midura Central	102
2020-06-06	Midura Central	106
2020-06-07	Midura Central	88
2020-06-08	Midura Central	96
2020-06-09	Midura Central	61
2020-06-10	Midura Central	93
2020-06-11	Midura Central	84
2020-06-12	Midura Central	87
2020-06-13	Midura Central	126
2020-06-14	Midura Central	92
2020-06-15	Midura Central	91
2020-06-16	Midura Central	77
2020-06-17	Midura Central	92
2020-06-18	Midura Central	92
2020-06-19	Midura Central	122
2020-06-20	Midura Central	122
2020-06-21	Midura Central	88
2020-06-22	Midura Central	76
2020-06-23	Midura Central	84
2020-06-24	Midura Central	78
2020-06-25	Midura Central	94
2020-06-26	Midura Central	106
2020-06-27	Midura Central	107
2020-06-28	Midura Central	92
2020-06-29	Midura Central	83
2020-06-30	Midura Central	99
2020-07-01	Midura Central	94
2020-07-02	Midura Central	84
2020-07-03	Midura Central	100
2020-07-04	Midura Central	121
2020-07-05	Midura Central	85
2020-07-06	Midura Central	95
2020-07-07	Midura Central	74
2020-07-08	Midura Central	87
2020-07-09	Midura Central	99
2020-07-10	Midura Central	99
2020-07-11	Midura Central	111
2020-07-12	Midura Central	95
2020-07-13	Midura Central	76
