Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
Stirling Hotel SA	615fc9d9c438324b59f163fc59262b1eae4a6222	-35.12149417859533	138.5200464242634	AUS	40304108503		Onkaparinga C	Morphett Vale - West	South Australia		5162			13.728922028200838	-35.12152017859533	138.52001442426737	AUS	40304108503		Onkaparinga C	Morphett Vale - West	South Australia		5162			13.731438662849866
Stirling Hotel SA	8ea61605dff1978513ae810066d63fef1b0792bb	-35.03224260700335	138.91138011558436	AUS	40102100905		Mount Barker DC	Nairne	South Australia		5252			11.102727463469392	-34.92903360700335	138.60312003860298	AUS	40101100141		Adelaide C	Adelaide	South Australia		5000			8.437342810088353
Stirling Hotel SA	22944b8aaf90fcc2acb29897b85d6bbc9535a23f	-34.99853523482063	138.71357345043555	AUS	40102100428		Adelaide Hills DC	Aldgate - Stirling	South Australia		5152			0.6163747508633924	-34.998542234820626	138.7135664504348	AUS	40102100428		Adelaide Hills DC	Aldgate - Stirling	South Australia		5152			0.6160872763589836
Stirling Hotel SA	83e6e780d6a8c6d91475977ad262d4398bb654ed	-34.835445094444914	138.67467604150337	AUS	40203103728		Tea Tree Gully C	Northgate - Oakden - Gilles Plains	South Australia		5093			12.097855005255086	-34.66920009444492	138.68057904544196	AUS	40202103218		Playford C	Munno Para West - Angle Vale	South Australia		5115			23.442250709020996
Stirling Hotel SA	591d70a976ad16381537a92fbeeb5884b35aaf1d	-34.95525764047947	138.87855649697133	AUS	40102100612		Adelaide Hills DC	Lobethal - Woodside	South Australia		5244			9.777343580351936	-34.95517464047947	138.8784954972382	AUS	40102100612		Adelaide Hills DC	Lobethal - Woodside	South Australia		5244			9.7762203975714
Stirling Hotel SA	7cd1cb223415ecac2001bec64539a7f57f4c6f11	-37.89403904469137	145.0193941267386	AUS	20802117833		Glen Eira C	Caulfield - South	Victoria		3162			403.3636095494022	-37.82131704469137	144.96654838693794	AUS	20604112610		Melbourne C	Southbank	Victoria		3006			398.4776475966781
Stirling Hotel SA	1b29b337b0ce9a0d32e25c89bc5a5cd7e9fcc6ec	-34.97642950978158	138.53178186214674	AUS	40301105727		Holdfast Bay C	Glenelg (SA)	South Australia		5045			10.751668973797898	-34.97642650978158	138.53178586213718	AUS	40301105727		Holdfast Bay C	Glenelg (SA)	South Australia		5045			10.751487280287972
Stirling Hotel SA	bc9af6f35565ed7c152563e3e4f01737f22f005d	-34.799068152289244	138.49964151975675	AUS	40402110032		Port Adelaide Enfield C	North Haven	South Australia		5017			18.962480663928275	-34.79906715228924	138.49963251975393	AUS	40402110032		Port Adelaide Enfield C	North Haven	South Australia		5017			18.962866441941763
Stirling Hotel SA	ed15faef03d701536fd56041964afecf8736dd7f	-34.99842951594764	138.51122086645842	AUS	40301105712		Holdfast Bay C	Glenelg (SA)	South Australia		5044			11.723148485401982													
Stirling Hotel SA	e6041f69de5e6a68411d0ce174c8f1df8eb7a84f	-27.62867494683003	152.77008789409447	AUS	31003128744		Ipswich C	Ipswich - East	Queensland		4305			973.1543651282576	-27.63036494683003	152.69446689367595	AUS	31002128230		Ipswich C	Rosewood	Queensland		4306			969.2982397577011
Stirling Hotel SA	0d166c1bdbb04614efb77092fe40b2c6d65a0860	-34.91322625116414	138.59354009083575	AUS	40101100218		Adelaide C	North Adelaide	South Australia		5006			9.56578941580272	-34.96446625116414	138.55418704714424	AUS	40403110725		West Torrens C	Plympton	South Australia		5038			9.726103527966654
Stirling Hotel SA	c9dd932bd68c6fb32c3ff9bdcd231a9e1f904398	-34.04523042668065	151.14805824006976	AUS	12801160449		Sutherland Shire A	Cronulla - Kurnell - Bundeena	New South Wales		2230			711.0161445726918	-34.04523042668065	151.14809424006975	AUS	12801160449		Sutherland Shire A	Cronulla - Kurnell - Bundeena	New South Wales		2230			711.0181831952107
Stirling Hotel SA	7ede18f19d9688b9f3f6b1007866c45bde516c90	-35.04076941926479	138.913816660499	AUS	40102100918		Mount Barker DC	Nairne	South Australia		5252			11.34606294326732	-35.04072741926479	138.9138036604745	AUS	40102100918		Mount Barker DC	Nairne	South Australia		5252			11.344742629213103
Stirling Hotel SA	83695613371b19af25683094dd9a62dcd29c9621	-35.05697269495234	138.86065982800238	AUS	40102100717		Mount Barker DC	Mount Barker	South Australia		5251			8.802470833207446	-34.99126169495234	138.78992118969046	AUS	40102100618		Adelaide Hills DC	Lobethal - Woodside	South Australia		5242			4.219791543639426
Stirling Hotel SA	375c6c995483daaccccbfdb5b3af0ab4f6761006	-34.94470414148319	138.65958153452328	AUS	40103101214		Burnside C	Glenside - Beaumont	South Australia		5066			5.414616524372503	-34.944664141483194	138.65963153457378	AUS	40103101214		Burnside C	Glenside - Beaumont	South Australia		5066			5.415081062958116
Stirling Hotel SA	4efb3f9787f0374ee38e93e7c5aa01e3ac15f643	-34.92000618487884	138.56544085761323	AUS	40403110825		West Torrens C	Richmond (SA)	South Australia		5031			10.518819215371785	-34.91977718487884	138.6018048575104	AUS	40101100111		Adelaide C	Adelaide	South Australia		5000			8.91403874674245
Stirling Hotel SA	69399c054cfb930c50bd7b463249ef0b9e6bc70b	-34.838330820922536	138.71739037178722	AUS	40205105208		Tea Tree Gully C	Hope Valley - Modbury	South Australia		5090			11.647548874381394	-34.83827382092254	138.71731837175028	AUS	40205105208		Tea Tree Gully C	Hope Valley - Modbury	South Australia		5090			11.651502009161696
Stirling Hotel SA	e9d8ac093ae49def92d31003e0708023a3d8eda6	-34.83899352409949	138.49826911151257	AUS	40402109907		Port Adelaide Enfield C	Largs Bay - Semaphore	South Australia		5015			17.0213804519558	-34.92572652409949	138.49652343790163	AUS	40401109234		Charles Sturt C	Henley Beach	South Australia		5022			13.741317135782468
Stirling Hotel SA	7c5a76a8ec271405db2646f6d7843c38c6d7374e	-34.80499840173237	138.6183670011282	AUS	40204117117		Salisbury C	Mawson Lakes - Globe Derby Park	South Australia		5095			15.051754271806377	-34.80500340173237	138.61837600111778	AUS	40204117117		Salisbury C	Mawson Lakes - Globe Derby Park	South Australia		5095			15.051242132693776
Stirling Hotel SA	a5e2a875325e32f0c4f6813e59add71b7e55d4de	-35.303170865104825	139.17849709845967	AUS	40703116607		Murray Bridge RC	Murray Bridge Region	South Australia		5255			33.15227244980052	-35.12093186510483	139.27204564307095	AUS	40703116508		Murray Bridge RC	Murray Bridge	South Australia		5253			32.35463709527939
Stirling Hotel SA	b52d0fc64bc37c8149cfd3e30ecdc16eb9c32584	-35.0199262552879	138.61096153710628	AUS	40303106719		Mitcham C	Blackwood	South Australia		5051			6.1255704199933465	-35.258400255287896	138.9005917964367	AUS	40701114611		Alexandrina DC	Strathalbyn	South Australia		5255			20.246116249125162
