Date	Polygon	Observed Devices
2020-04-14	Stirling Hotel SA	1
2020-04-15	Stirling Hotel SA	1
2020-04-16	Stirling Hotel SA	2
2020-04-17	Stirling Hotel SA	1
2020-04-18	Stirling Hotel SA	5
2020-04-19	Stirling Hotel SA	3
2020-04-20	Stirling Hotel SA	2
2020-04-21	Stirling Hotel SA	2
2020-04-22	Stirling Hotel SA	2
2020-04-23	Stirling Hotel SA	3
2020-04-24	Stirling Hotel SA	5
2020-04-25	Stirling Hotel SA	6
2020-04-26	Stirling Hotel SA	6
2020-04-27	Stirling Hotel SA	1
2020-04-28	Stirling Hotel SA	2
2020-04-29	Stirling Hotel SA	1
2020-04-30	Stirling Hotel SA	1
2020-05-01	Stirling Hotel SA	2
2020-05-02	Stirling Hotel SA	3
2020-05-03	Stirling Hotel SA	2
2020-05-04	Stirling Hotel SA	1
2020-05-05	Stirling Hotel SA	2
2020-05-06	Stirling Hotel SA	4
2020-05-07	Stirling Hotel SA	1
2020-05-08	Stirling Hotel SA	5
2020-05-09	Stirling Hotel SA	3
2020-05-10	Stirling Hotel SA	2
2020-05-11	Stirling Hotel SA	2
2020-05-13	Stirling Hotel SA	1
2020-05-14	Stirling Hotel SA	2
2020-05-15	Stirling Hotel SA	4
2020-05-16	Stirling Hotel SA	1
2020-05-17	Stirling Hotel SA	5
2020-05-18	Stirling Hotel SA	2
2020-05-19	Stirling Hotel SA	2
2020-05-20	Stirling Hotel SA	2
2020-05-22	Stirling Hotel SA	1
2020-05-23	Stirling Hotel SA	1
2020-05-24	Stirling Hotel SA	6
2020-05-25	Stirling Hotel SA	4
2020-05-26	Stirling Hotel SA	2
2020-05-27	Stirling Hotel SA	4
2020-05-28	Stirling Hotel SA	1
2020-05-29	Stirling Hotel SA	7
2020-05-30	Stirling Hotel SA	4
2020-05-31	Stirling Hotel SA	4
2020-06-01	Stirling Hotel SA	2
2020-06-02	Stirling Hotel SA	1
2020-06-03	Stirling Hotel SA	1
2020-06-04	Stirling Hotel SA	6
2020-06-05	Stirling Hotel SA	8
2020-06-06	Stirling Hotel SA	9
2020-06-07	Stirling Hotel SA	6
2020-06-08	Stirling Hotel SA	10
