category_id	category_name	subsector	sector	study_visitors	control_visitors	visit_rate_study	visit_rate_control	visit_rate_study_sigma	visit_rate_control_sigma	visit_rate_ratio	visit_rate_ratio_sigma	num_visits_study	num_visits_control	num_visits_study_sigma	num_visits_control_sigma	num_visits_ratio	num_visits_ratio_sigma	visit_duration_study	visit_duration_control	visit_duration_study_sigma	visit_duration_control_sigma	visit_duration_ratio	visit_duration_ratio_sigma	affinity_ratio	affinity_ratio_sigma	visit_share_study	visit_share_control	visit_share_study_sigma	visit_share_control_sigma	visit_share_ratio	visit_share_ratio_sigma
10538	Kohls	Department Stores	Apparel	0	395229	0.0000%	2.2483%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.441	0.000	0.000	-100.00%	0.00%	0.0	16.6	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.1605	0.0000	0.0000	-100.00%	0.00%
10539	Koko Fitclub	Gym and Fitness Facilities	Fitness and Recreation Centers	0	987	0.0000%	0.0056%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.528	0.000	0.000	-100.00%	0.00%	0.0	14.7	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0004	0.0000	0.0000	-100.00%	0.00%
10540	Kona Grill	Casual Dining	Eating Places	0	10540	0.0000%	0.0600%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.349	0.000	0.000	-100.00%	0.00%	0.0	17.5	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0040	0.0000	0.0000	-100.00%	0.00%
10541	Kowalskis Markets	Grocery	Grocery Stores	0	2575	0.0000%	0.0146%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.920	0.000	0.000	-100.00%	0.00%	0.0	15.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0014	0.0000	0.0000	-100.00%	0.00%
10542	Krispy Kreme	Bakery/Dessert	Eating Places	0	88207	0.0000%	0.5018%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.293	0.000	0.000	-100.00%	0.00%	0.0	15.4	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0321	0.0000	0.0000	-100.00%	0.00%
10543	Kroger	Grocery	Grocery Stores	0	781149	0.0000%	4.4436%	0.0000%	0.0000%	-100.00%	0.00%	0.000	2.181	0.000	0.000	-100.00%	0.00%	0.0	16.9	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.4801	0.0000	0.0000	-100.00%	0.00%
10544	Krystal Burger	QSR	Eating Places	0	98340	0.0000%	0.5594%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.464	0.000	0.000	-100.00%	0.00%	0.0	16.2	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0406	0.0000	0.0000	-100.00%	0.00%
10545	KTM Sportmotorcycle	Other Vehicles	Automotive Dealers	0	2	0.0000%	0.0000%	0.0000%	0.0000%	-100.00%	0.00%	0.000	1.000	0.000	0.000	-100.00%	0.00%	0.0	12.7	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0000	0.0000	0.0000	-100.00%	0.00%
10546	Kuhn's	Grocery	Grocery Stores	0	1297	0.0000%	0.0074%	0.0000%	0.0000%	-100.00%	0.00%	0.000	2.020	0.000	0.000	-100.00%	0.00%	0.0	14.5	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.0007	0.0000	0.0000	-100.00%	0.00%
10547	Kum & Go	Convenience	Auto and Gasoline Service Stations	0	175710	0.0000%	0.9995%	0.0000%	0.0000%	-100.00%	0.00%	0.000	2.021	0.000	0.000	-100.00%	0.00%	0.0	15.7	0.0	0.0	-100.00%	0.00%	-100.00%	0.00%	0.0000	0.1001	0.0000	0.0000	-100.00%	0.00%
