subsector	sector	study_visitors	control_visitors	visit_rate_study	visit_rate_control	visit_rate_study_sigma	visit_rate_control_sigma	visit_rate_ratio	visit_rate_ratio_sigma	num_visits_study	num_visits_control	num_visits_study_sigma	num_visits_control_sigma	num_visits_ratio	num_visits_ratio_sigma	visit_duration_study	visit_duration_control	visit_duration_study_sigma	visit_duration_control_sigma	visit_duration_ratio	visit_duration_ratio_sigma	affinity_ratio	affinity_ratio_sigma	visit_share_study	visit_share_control	visit_share_study_sigma	visit_share_control_sigma	visit_share_ratio	visit_share_ratio_sigma
Luxury	Hotels	0	28364	0.0000%	0.1614%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.846	0.000	0.000	-100.00%	+0.00%	0.0	28.2	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0148	0.0000	0.0000	-100.00%	+0.00%
Malls & Shopping Centers	Retail	3	13132738	100.0000%	74.7066%	50.0000%	0.0000%	+33.86%	+66.93%	16.000	5.485	18.000	0.000	+191.70%	+328.16%	17.1	19.4	11.3	0.0	-11.88%	+58.29%	+97.60%	+148.20%	26.0870	20.2940	20.0000	0.0000	+28.55%	+98.55%
Medical	Services	0	2826	0.0000%	0.0161%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.344	0.000	0.000	-100.00%	+0.00%	0.0	14.1	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0011	0.0000	0.0000	-100.00%	+0.00%
Midscale	Automotive Dealers	0	715133	0.0000%	4.0681%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.673	0.000	0.000	-100.00%	+0.00%	0.0	16.9	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.3371	0.0000	0.0000	-100.00%	+0.00%
Midscale	Hotels	1	6146682	33.3333%	34.9659%	50.0000%	0.0000%	-4.67%	+143.00%	2.000	3.260	1.000	0.000	-38.64%	+30.68%	10.0	30.3	5.0	0.0	-66.99%	+16.51%	-23.52%	+66.23%	1.0870	5.6447	0.6623	0.0000	-80.74%	+11.73%
Motion Picture Theaters	Entertainment	2	1345111	66.6667%	7.6518%	50.0000%	0.0000%	+771.26%	+653.44%	2.500	1.675	2.000	0.000	+49.24%	+119.39%	20.8	19.3	11.7	0.0	+7.61%	+60.61%	+260.59%	+279.31%	2.7174	0.6348	13.3333	0.0000	+328.06%	+2100.35%
Moving	Services	1	972485	33.3333%	5.5321%	50.0000%	0.0000%	+502.55%	+903.82%	1.000	1.690	0.500	0.000	-40.81%	+29.59%	10.0	17.2	5.0	0.0	-41.70%	+29.15%	+88.85%	+163.55%	0.5435	0.4629	0.3311	0.0000	+17.41%	+71.53%
Music	Retail	0	45608	0.0000%	0.2594%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.352	0.000	0.000	-100.00%	+0.00%	0.0	15.7	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0174	0.0000	0.0000	-100.00%	+0.00%
Office	Retail	1	1650906	33.3333%	9.3913%	50.0000%	0.0000%	+254.94%	+532.41%	1.000	2.041	0.500	0.000	-51.02%	+24.49%	10.0	16.4	5.0	0.0	-38.94%	+30.53%	+31.86%	+114.19%	0.5435	0.9495	2.7778	0.0000	-42.76%	+292.56%
Office	Services	0	108830	0.0000%	0.6191%	0.0000%	0.0000%	-100.00%	+0.00%	0.000	1.455	0.000	0.000	-100.00%	+0.00%	0.0	16.1	0.0	0.0	-100.00%	+0.00%	-100.00%	+0.00%	0.0000	0.0446	0.0000	0.0000	-100.00%	+0.00%
