Date	Polygon	Observed Devices
2020-04-06	Feathers Hotel SA	2
2020-04-07	Feathers Hotel SA	1
2020-04-09	Feathers Hotel SA	1
2020-04-10	Feathers Hotel SA	2
2020-04-11	Feathers Hotel SA	3
2020-04-12	Feathers Hotel SA	3
2020-04-13	Feathers Hotel SA	3
2020-04-14	Feathers Hotel SA	1
2020-04-15	Feathers Hotel SA	1
2020-04-16	Feathers Hotel SA	2
2020-04-18	Feathers Hotel SA	3
2020-04-19	Feathers Hotel SA	2
2020-04-20	Feathers Hotel SA	1
2020-04-21	Feathers Hotel SA	1
2020-04-23	Feathers Hotel SA	6
2020-04-24	Feathers Hotel SA	1
2020-04-25	Feathers Hotel SA	4
2020-04-26	Feathers Hotel SA	2
2020-04-29	Feathers Hotel SA	3
2020-04-30	Feathers Hotel SA	1
2020-05-01	Feathers Hotel SA	3
2020-05-02	Feathers Hotel SA	5
2020-05-03	Feathers Hotel SA	1
2020-05-06	Feathers Hotel SA	1
2020-05-07	Feathers Hotel SA	2
2020-05-08	Feathers Hotel SA	1
2020-05-09	Feathers Hotel SA	2
2020-05-10	Feathers Hotel SA	5
2020-05-12	Feathers Hotel SA	2
2020-05-13	Feathers Hotel SA	1
2020-05-14	Feathers Hotel SA	1
2020-05-15	Feathers Hotel SA	1
2020-05-16	Feathers Hotel SA	3
2020-05-17	Feathers Hotel SA	1
2020-05-20	Feathers Hotel SA	1
2020-05-21	Feathers Hotel SA	1
2020-05-22	Feathers Hotel SA	5
2020-05-23	Feathers Hotel SA	1
2020-05-24	Feathers Hotel SA	3
2020-05-25	Feathers Hotel SA	2
2020-05-26	Feathers Hotel SA	3
2020-05-28	Feathers Hotel SA	1
2020-05-29	Feathers Hotel SA	5
2020-05-30	Feathers Hotel SA	3
2020-05-31	Feathers Hotel SA	2
2020-06-01	Feathers Hotel SA	3
2020-06-02	Feathers Hotel SA	2
2020-06-03	Feathers Hotel SA	6
2020-06-04	Feathers Hotel SA	6
2020-06-05	Feathers Hotel SA	4
2020-06-06	Feathers Hotel SA	13
2020-06-07	Feathers Hotel SA	2
2020-06-08	Feathers Hotel SA	7
2020-06-09	Feathers Hotel SA	4
2020-06-10	Feathers Hotel SA	6
2020-06-11	Feathers Hotel SA	3
2020-06-12	Feathers Hotel SA	8
2020-06-13	Feathers Hotel SA	10
2020-06-14	Feathers Hotel SA	7
2020-06-15	Feathers Hotel SA	6
2020-06-16	Feathers Hotel SA	6
2020-06-17	Feathers Hotel SA	2
2020-06-18	Feathers Hotel SA	10
2020-06-19	Feathers Hotel SA	16
2020-06-20	Feathers Hotel SA	11
2020-06-21	Feathers Hotel SA	7
2020-06-22	Feathers Hotel SA	6
2020-06-23	Feathers Hotel SA	6
2020-06-24	Feathers Hotel SA	4
2020-06-25	Feathers Hotel SA	5
2020-06-26	Feathers Hotel SA	24
2020-06-27	Feathers Hotel SA	12
2020-06-28	Feathers Hotel SA	8
2020-06-29	Feathers Hotel SA	6
2020-06-30	Feathers Hotel SA	9
2020-07-01	Feathers Hotel SA	7
2020-07-02	Feathers Hotel SA	8
2020-07-03	Feathers Hotel SA	11
2020-07-04	Feathers Hotel SA	17
2020-07-05	Feathers Hotel SA	15
2020-07-06	Feathers Hotel SA	8
2020-07-07	Feathers Hotel SA	7
2020-07-08	Feathers Hotel SA	5
2020-07-09	Feathers Hotel SA	9
2020-07-10	Feathers Hotel SA	16
2020-07-11	Feathers Hotel SA	18
2020-07-12	Feathers Hotel SA	8
2020-07-13	Feathers Hotel SA	3
2020-07-14	Feathers Hotel SA	7
2020-07-15	Feathers Hotel SA	9
2020-07-16	Feathers Hotel SA	2
2020-07-17	Feathers Hotel SA	25
2020-07-18	Feathers Hotel SA	24
2020-07-19	Feathers Hotel SA	12
2020-07-20	Feathers Hotel SA	6
2020-07-21	Feathers Hotel SA	3
2020-07-22	Feathers Hotel SA	3
2020-07-23	Feathers Hotel SA	6
2020-07-24	Feathers Hotel SA	12
2020-07-25	Feathers Hotel SA	42
2020-07-26	Feathers Hotel SA	10
2020-07-27	Feathers Hotel SA	3
2020-07-28	Feathers Hotel SA	2
2020-07-29	Feathers Hotel SA	7
2020-07-30	Feathers Hotel SA	10
2020-07-31	Feathers Hotel SA	6
2020-08-01	Feathers Hotel SA	17
2020-08-02	Feathers Hotel SA	10
2020-08-03	Feathers Hotel SA	8
2020-08-04	Feathers Hotel SA	6
2020-08-06	Feathers Hotel SA	9
2020-08-07	Feathers Hotel SA	16
2020-08-08	Feathers Hotel SA	18
2020-08-09	Feathers Hotel SA	13
2020-08-10	Feathers Hotel SA	4
2020-08-11	Feathers Hotel SA	9
2020-08-12	Feathers Hotel SA	8
2020-08-13	Feathers Hotel SA	4
2020-08-14	Feathers Hotel SA	16
2020-08-15	Feathers Hotel SA	16
2020-08-16	Feathers Hotel SA	15
2020-08-17	Feathers Hotel SA	5
2020-08-18	Feathers Hotel SA	8
2020-08-19	Feathers Hotel SA	9
2020-08-20	Feathers Hotel SA	5
2020-08-21	Feathers Hotel SA	15
2020-08-22	Feathers Hotel SA	17
2020-08-23	Feathers Hotel SA	14
2020-08-24	Feathers Hotel SA	9
2020-08-25	Feathers Hotel SA	6
2020-08-26	Feathers Hotel SA	4
2020-08-27	Feathers Hotel SA	9
2020-08-28	Feathers Hotel SA	19
2020-08-29	Feathers Hotel SA	15
2020-08-30	Feathers Hotel SA	9
2020-08-31	Feathers Hotel SA	3
2020-09-01	Feathers Hotel SA	6
2020-09-02	Feathers Hotel SA	7
2020-09-03	Feathers Hotel SA	9
2020-09-04	Feathers Hotel SA	11
2020-09-05	Feathers Hotel SA	20
2020-09-06	Feathers Hotel SA	18
2020-09-07	Feathers Hotel SA	13
2020-09-08	Feathers Hotel SA	3
2020-09-09	Feathers Hotel SA	10
2020-09-10	Feathers Hotel SA	4
2020-09-11	Feathers Hotel SA	15
2020-09-12	Feathers Hotel SA	26
2020-09-13	Feathers Hotel SA	14
2020-09-14	Feathers Hotel SA	6
2020-09-15	Feathers Hotel SA	9
2020-09-16	Feathers Hotel SA	1
2020-09-17	Feathers Hotel SA	1
2020-09-18	Feathers Hotel SA	17
2020-09-19	Feathers Hotel SA	14
2020-09-20	Feathers Hotel SA	11
2020-09-21	Feathers Hotel SA	9
2020-09-22	Feathers Hotel SA	6
2020-09-23	Feathers Hotel SA	6
2020-09-24	Feathers Hotel SA	7
2020-09-25	Feathers Hotel SA	12
2020-09-26	Feathers Hotel SA	16
2020-09-27	Feathers Hotel SA	22
2020-09-28	Feathers Hotel SA	11
2020-09-29	Feathers Hotel SA	7
2020-09-30	Feathers Hotel SA	11
2020-10-01	Feathers Hotel SA	19
2020-10-02	Feathers Hotel SA	7
2020-10-03	Feathers Hotel SA	27
2020-10-04	Feathers Hotel SA	15
2020-10-05	Feathers Hotel SA	15
2020-10-06	Feathers Hotel SA	6
2020-10-07	Feathers Hotel SA	8
2020-10-08	Feathers Hotel SA	19
2020-10-09	Feathers Hotel SA	14
2020-10-10	Feathers Hotel SA	13
2020-10-11	Feathers Hotel SA	18
2020-10-12	Feathers Hotel SA	4
2020-10-13	Feathers Hotel SA	15
2020-10-14	Feathers Hotel SA	7
2020-10-15	Feathers Hotel SA	11
2020-10-16	Feathers Hotel SA	30
2020-10-17	Feathers Hotel SA	24
2020-10-18	Feathers Hotel SA	23
2020-10-19	Feathers Hotel SA	4
2020-10-20	Feathers Hotel SA	9
2020-10-21	Feathers Hotel SA	8
2020-10-22	Feathers Hotel SA	15
2020-10-23	Feathers Hotel SA	22
2020-10-24	Feathers Hotel SA	13
2020-10-25	Feathers Hotel SA	12
2020-10-26	Feathers Hotel SA	7
2020-10-27	Feathers Hotel SA	13
