Polygon Name	Hashed Device Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening State	Common Evening Zip	Common Evening Census	Common Evening Metro	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime State	Common Daytime Zip	Common Daytime Census	Common Daytime Metro	Common Daytime Distance
156 Port Road Albertson SA	b0d4002fcbfc4daa5eefba5b4376acb1cbf80f46	-34.90798251623861	138.5299178106887	AUS	South Australia	5025	40401109106	Charles Sturt C	3.5044372987000467	-34.90798551623861	138.52991581068812	AUS	South Australia	5025	40401109106	Charles Sturt C	3.5046061302602687
156 Port Road Albertson SA	2323f06d028756ea20dea6a417da976659a59e25	-34.89361928036205	138.51524859674817	AUS	South Australia	5023	40401109516	Charles Sturt C	2.381917631450313	-34.89361428036206	138.5152285967421	AUS	South Australia	5023	40401109516	Charles Sturt C	2.381515008004115
156 Port Road Albertson SA	bde0f5a2173a1c53fad8a742f8ce6a71ee709e01									-34.93086708417417	138.5044437769497	AUS	South Australia	5022	40401109201	Charles Sturt C	4.979723458000937
156 Port Road Albertson SA	494011f8ae03afe33c6f4130f212d1110a32a0d3	-34.85589055445137	138.51576152214835	AUS	South Australia	5014	40402110118	Port Adelaide Enfield C	0.27518553875808793								
156 Port Road Albertson SA	b1ebde7a33a379621223bf92149da48e6e599130	-34.87757248848226	138.50880163307403	AUS	South Australia	5014	40401109406	Charles Sturt C	1.2923754082188093	-34.87757248848226	138.50880963307404	AUS	South Australia	5014	40401109406	Charles Sturt C	1.2922893296671862
156 Port Road Albertson SA	bb636836a6aa7eab1dda1ca63dfa74146d224e1a	-34.908776184152856	138.51628064120524	AUS	South Australia	5024	40401109209	Charles Sturt C	3.431955637953008	-35.02290118415285	138.52364731396707	AUS	South Australia	5048	40301105621	Holdfast Bay C	11.33710098160602
156 Port Road Albertson SA	64faed34a081c255d76d9f80e9c7f69a5e71c19f	-34.925576919327796	138.51256231266976	AUS	South Australia	5024	40403110503	West Torrens C	4.589504608672062	-34.925588919327794	138.51258231263233	AUS	South Australia	5024	40403110503	West Torrens C	4.590326915080247
156 Port Road Albertson SA	549eeea59e2df3ea546a5a029f002d0388306fa4	-34.79597472374006	138.6880273884259	AUS	South Australia	5127	40205105314	Tea Tree Gully C	10.852230787795536	-34.79596972374006	138.68801238842897	AUS	South Australia	5127	40205105314	Tea Tree Gully C	10.851591102813774
156 Port Road Albertson SA	29354e9786d91ca1327c07df6f205c69d2ec5bbc	-34.72958792812513	138.6651999238858	AUS	South Australia	5112	40202103010	Playford C	12.451338895035596	-34.84264692812513	138.5904177468341	AUS	South Australia	5094	40203103648	Port Adelaide Enfield C	4.535020661777563
156 Port Road Albertson SA	29b36e3443a1d48532ffae3723ddffac695104b2	-34.92309521722164	138.51624096307532	AUS	South Australia	5024	40401109218	Charles Sturt C	4.4212739170772455	-34.923111217221646	138.51626496304277	AUS	South Australia	5024	40401109218	Charles Sturt C	4.42243444174851
156 Port Road Albertson SA	9e30f8b96cb490bd232b4eac2f1d5cf5ef5d3f01	-30.776909987572953	121.48556070779864	AUS	Western Australia	6432	51103127803	Kalgoorlie Boulder C	1027.8271747654824	-30.776857987572956	121.48555770784043	AUS	Western Australia	6432	51103127803	Kalgoorlie Boulder C	1027.8285984739007
