Polygon ID	Device ID	Resident	Worker	CEL Lat	CEL Lng	CEL Country	CEL State	CEL Zip	CEL Census Block ID	CEL Metro	CDL Lat	CDL Lng	CDL Country	CDL State	CDL Zip	CDL Census Block ID	CDL Metro	Commute Distance
OTR Seaton	b2c071d0be9ef804722bff51f134fc694bd92691	false	true	-34.90314066861897	138.51548464928914	AUS	South Australia	5023	40401109519	Charles Sturt C	-34.901841668618964	138.51409964880435	AUS	South Australia	5023	40401109520	Charles Sturt C	0.11935941093617995
OTR Seaton	2d336d811adff31cd4c530dcbc7b4ce576d9620d	false	true	-34.89930657507561	138.51760914069015	AUS	South Australia	5023	40401109524	Charles Sturt C	-34.90216857507561	138.51435514850098	AUS	South Australia	5023	40401109520	Charles Sturt C	0.27067979374076534
OTR Seaton	4581dd96e57d130b7572ca7e6b63c8be3df330d8	false	true	-34.980891477823754	138.5207806551985	AUS	South Australia	5045	40301105741	Holdfast Bay C	-34.90175147782376	138.51416156100052	AUS	South Australia	5023	40401109520	Charles Sturt C	5.4870220969279435
