Polygon ID	Hashed Device ID	Generator Evening Lat	Generator Evening Long	Generator Daytime Lat	Generator Daytime Long
OTR Seaton	83cdeb817d4bffac5eeba1716456d09a27e0a532	-34.901578328124998	138.51381153125001	-34.696464770491801	138.69323498360654
OTR Seaton	5dcbb8343b7dbaafbe7f1b5fa767faa28e85126b	-34.87430272112676	138.51632508450703	-34.87434727272727	138.5157106017316
OTR Seaton	d6cc8b25b710173bfa36bc19d8be93d744df091a	-34.887009777777777	138.48539841666667	-34.828247759999996	138.63149268000001
OTR Seaton	5bffb715d2dd7dd8327bd952fb07d5cc864e2650	-34.942195166666664	138.5068551	-34.94207229268293	138.50717226829269
OTR Seaton	9c9ce0d5a1fe6a43943313be8ac0c4a886f63606			-34.934286833333331	138.56435333333332
OTR Seaton	865ee560782ba341151e734ddc0db6d12cc8812b	-35.022157515625004	138.51983420312499	-35.022163627737228	138.51988113868612
OTR Seaton	92401ca53183d566686663f7e002c18cea5b3b17	-35.020075170909095	138.55258882545454	-35.019552042918455	138.55341453218884
OTR Seaton	abe867bf0e42ccdec563e06db556b949f4257323	-34.746955226537217	138.60626566343043	-34.924864764285715	138.61930125000001
OTR Seaton	40b57289bab8ddee3ad8eff466f67098923bd080	-34.985417803030302	138.54163434848485	-34.847032973684207	138.5476587368421
OTR Seaton	b9f5b4dd8bd484f93581135ae47a8dfb6bf6d01b	-34.773032135338347	138.61766493233083	-34.773466020833332	138.6490131875
OTR Seaton	d9b1c5ac3609ac79b7bf4349b96cbd57052821d7	-34.875934345679013	138.50650013580247	-34.876008948051947	138.50626795454545
OTR Seaton	903b5f2c0201d08149071b64905f4d12217f349e	-34.904955000000001	138.50920756474821	-34.90446145238095	138.50971521428571
OTR Seaton	11f88b818f3b918e8a6561db3bc5bb97a764f6cd	-34.928698875816991	138.50219589542485	-34.928659494845363	138.50247921649483
OTR Seaton	2f055ba54d355ce9dd18c0fe0cad8593726f8675	-34.845581129166668	138.50754306249999	-34.845590390065148	138.50756016123779
OTR Seaton	0a2796f660790994252b74d908c39da80eec2dc3	-34.971199508196719	138.52912404098362	-34.971699939086292	138.52753572081218
OTR Seaton	c100a1344b4785b2c4d358191d7f125022f905a7	-34.920344355140188	138.51389663551402	-34.920634157657659	138.5138002117117
OTR Seaton	15064a56e1b347a5cc1067a98099d84c9394ff0f	-34.972980804878048	138.54084845121952	-34.973868058823527	138.5369117254902
OTR Seaton	b1bb5ee6cfcf11ae695c16dc5a2738fbe1527425	-34.946519199999997	138.50274717142858	-34.946522340909091	138.50278136363636
OTR Seaton	25fe36332827e568315fd4c96b2bce84d2bf21a1	-34.859410562130179	138.55838618343196	-34.85968617117117	138.5579826981982
OTR Seaton	18c34b37e8a0d110e7a2ed6f10ed8c9a2933b1ba	-34.931440342105262	138.53880828070174	-34.935792052325581	138.53458474418605
OTR Seaton	de8ef92fc4a5697243003638806676831fb81371	-34.890269420000003	138.500463	-34.890863254901959	138.50082219607842
OTR Seaton	c2aee2b6fd0a7bdac83d3d7ebab119d5088d05ab	-34.889069327868853	138.56615119672131	-34.889388810256413	138.56626548717949
OTR Seaton	eae7903a1587fd03979a7fd2e3624fb57f5e7d79	-34.889132949860723	138.5238973816156	-34.889156210084032	138.52385849579832
OTR Seaton	1f8439d4dd70b6e1f9c33bb73d3a6ecec30687fa	-34.909896601694918	138.62548561864406	-34.909833034825873	138.62541185074627
