polygon_id	hashed_device_id	generator_evening_lat	generator_evening_long	generator_daytime_lat	generator_daytime_long
OTR Glandore	46f8fcdf9f196b986de6af1f46261364e7512d76	-34.942065999999997	138.54554349999998	-34.83511	138.689041
OTR Glandore	bf8bdd52c7dfca0332fa83aa2ad048444f027ff6	-34.9521662705314	138.54471408695653	-34.951222575757576	138.54409654545455
OTR Glandore	ea93e059e046fa09ab15b712d49afd9a40d29c11	-34.999860393805307	138.5604850442478	-34.99454593548387	138.53630954032258
OTR Glandore	c65dc5893739762099be40bfdb17d0fe2c8e51b8	-34.954049918918919	138.56204635135134	-34.921014095238093	138.58690288888889
OTR Glandore	1202807a573b282d5db3df26c44356ce85b76615	-35.035986764705882	138.60669126470589	-34.899097142857144	138.57836157142856
OTR Glandore	4489b6b472494441e16f2be9984305d90805aa6e	-34.85964950793651	138.59152901587302	-34.859577760563383	138.59149538028169
OTR Glandore	077e9aeeb6f0712ae8ab52234c9010d4516af467	-34.95675136784741	138.54517951771118	-34.956879650887572	138.54524508284024
OTR Glandore	7903bf8f9f3e6ab1e5040cf0eb2f65ed94678240	-34.964152174285715	138.55780125285713	-34.964158306077351	138.55781789723756
OTR Glandore	f646d8ba9dfbca67c0631fb57f1dd1130b8fced8			-34.960365333333336	138.55818653333333
OTR Glandore	4a381124fa7fb17ff4077904f11db93f114bc59f			-35.041216172413797	138.54228517241378
OTR Glandore	26f8d40e2e9bb09da6be89619b6bef3903b91020	-34.841890939393942	138.63505795959597	-34.841646476190476	138.63589373015873
OTR Glandore	ab5d985dd55697d89df592decd7699c88d6c6e2b	-35.17688108695652	138.47872501242236	-35.172485488215486	138.47015473063973
OTR Glandore	b8e45460f3ee9af7c491c928f79aac25db1d073d	-34.874700477064223	138.66855364220183	-34.904047178217823	138.67122578217823
OTR Glandore	7a6bbdd8594f0800e8b4c892143ce7397d4796a7	-34.972666923076922	138.51304055384617	-34.930336829787237	138.54533365957448
OTR Glandore	fb8cf4374e21f0efe31f93e36e50f1447e44fca1	-34.948357171428569	138.55151842380951	-34.925145486111113	138.60781208333333
OTR Glandore	5d29467cfff9a87ee20bd5c1de1660daa4b95b58	-34.780507471698115	138.69928115094339	-34.755446444444445	138.65609266666667
OTR Glandore	decb34a20e1ebc7ca3550ddb6444e5d5785aba75	-34.930691629629628	138.61660451851853	-34.931126521126764	138.61493284507043
OTR Glandore	471c9f4eff4e94c52efcb14a8225bee393b36034	-35.015748863636361	138.56464954545456	-35.017125384615383	138.54306692307694
OTR Glandore	d34208928b6836099035dfda5b3eaf23a80d0c70	-35.023955588235296	138.54491677807488	-34.922910261904761	138.57854602380954
OTR Glandore	cbe9c6e453e7c0b75eb0d50d7bac970749054cb2	-34.856715580246913	138.59592298765432	-34.893622906250002	138.64414996874999
OTR Glandore	a3189b326f0db15938491341f59ecc0440805a55	-34.984613406304732	138.53097470052541	-34.984662121794869	138.53099305769231
OTR Glandore	260910c89e00a3af06303f4fb5d134e0cffd68dd	-34.959206830357139	138.55960038392857	-34.959202868852458	138.55960808196721
OTR Glandore	a665ffea4ea0f0f5f5969a2db52c6e0edbaa9466	-34.962730992125984	138.55822864566929	-34.963124800000003	138.55660727
OTR Glandore	fd8d14207be4c82ccf35faff5c26db3d33124cff	-34.968946670212766	138.56994058510639	-34.928067695652175	138.58906510869565
OTR Glandore	3e570df7b91b5d517a5b6ac7cec7d49ca759b8f0	-35.000053756172839	138.55601416358024	-35.000025391999998	138.55601720000001
OTR Glandore	d162d4884532eff67c8adf53cb403e737665d995	-34.946086425287355	138.59368134482759	-34.946470788617887	138.5932673495935
OTR Glandore	3b3ab7c90abbbc3a011041189851f7815ac1ad94	-34.763361217557254	138.65585536259542	-34.763381029629628	138.65586053333334
OTR Glandore	3f759022ff0c5310dc1d4c4fcf6b9c7ed2461dfe	-34.957605398148146	138.57668733333333	-34.957454320930232	138.57730914418605
OTR Glandore	2144f81effecafc8f3f071c0c43b41ee859df044	-34.963762000000003	138.56334000000001	-34.963773400000001	138.56334000000001
OTR Glandore	63684352d50ca1cc8f518540211f3dfd2e60baf6	-34.956507769230768	138.57109515384616	-34.956403999999999	138.57032106666668
OTR Glandore	5ff3cd02979f4b203243f59253abb0cb7a550cb3	-35.000617050000002	138.58990932500001	-35.000638651162788	138.58993688372092
OTR Glandore	404d7a8d27feb8b1d8617e51908dcfc29463fcd6			-34.9803894	138.51376099999999
OTR Glandore	17f6e6aa8eac8909a597708d9cb703dd082b6065	-34.923487745098036	138.59742327450982	-34.925388271028034	138.59736855140187
OTR Glandore	c0921108fd0f18fddc02bd94d7a0bdbcd0db51f6	-34.895597000000002	138.66432574999999	-34.720529632653061	138.66834314285714
OTR Glandore	61987a784fe280d39e008c19503ae165ea69ea5d	-35.002649989528798	138.58083191099476	-34.999614942446044	138.57876048201439
OTR Glandore	e2d5357e365e106a4a9f8fa66945f0da6995ae75	-34.655175092391303	138.67147097282609	-34.719502495798316	138.6676512857143
OTR Glandore	400a511455897642147888c6beda411a20c70b22	-35.02617879464286	138.56759577678571	-35.026140265625003	138.56759314062501
OTR Glandore	7033280191282dd52a08568d8fe8c85e992913a1	-34.964351314285715	138.51939208571429	-34.932200377049178	138.60368221311475
OTR Glandore	fbad887288211beb3f29919a78f5508f8c24bde3	-34.944750298076926	138.57116680769232	-34.9447008	138.57123356666668
OTR Glandore	05e70b931e1d89434d61122936d8c9aa52103754	-34.859627260504205	138.71464146218489	-34.85893582926829	138.71425540243902
OTR Glandore	bd813ea7fe472d76bcd86c780cbd634d0b35ebbc	-34.99037948979592	138.53264206122449	-34.990444407407409	138.53231931481483
OTR Glandore	537b5d9dc663c01671ad21d9c0b217f392ffdb9b	-34.636372582278483	138.65324035443038	-34.830541177777775	138.5998557111111
