Date	Polygon	Observed Devices
2020-07-28	OTR Glandore	11
2020-07-29	OTR Glandore	9
2020-07-30	OTR Glandore	3
2020-07-31	OTR Glandore	14
2020-08-01	OTR Glandore	15
2020-08-02	OTR Glandore	6
2020-08-03	OTR Glandore	5
2020-08-04	OTR Glandore	11
2020-08-05	OTR Glandore	1
2020-08-06	OTR Glandore	10
2020-08-07	OTR Glandore	8
2020-08-08	OTR Glandore	21
2020-08-09	OTR Glandore	11
2020-08-10	OTR Glandore	8
2020-08-11	OTR Glandore	7
2020-08-12	OTR Glandore	13
2020-08-13	OTR Glandore	6
2020-08-14	OTR Glandore	9
2020-08-15	OTR Glandore	15
2020-08-16	OTR Glandore	10
2020-08-17	OTR Glandore	7
2020-08-18	OTR Glandore	8
2020-08-19	OTR Glandore	7
2020-08-20	OTR Glandore	9
2020-08-21	OTR Glandore	12
2020-08-22	OTR Glandore	11
2020-08-23	OTR Glandore	9
/
