Device Id	Polygon Name	Timestamp	Common Evening Lat	Common Evening Long	Date	Time	Day of Week	Time Zone
2568209ea00e305fa57ad2a073ce97839b8a85d4	OTR Glandore	1589950998	-34.89730806323831	138.5356638728894	2020-05-20	14:33:18	Wed	Australia/Adelaide
8697b6b628132c52649fccf88c04e44e86b09d78	OTR Glandore	1591101180	-34.97192393524089	138.58348135055374	2020-06-02	22:03:00	Tue	Australia/Adelaide
6179f9c92ab21cc5ea4869dac0dfb90d3faa62fb	OTR Glandore	1596184371	-34.880300203565675	138.66620302322156	2020-07-31	18:02:51	Fri	Australia/Adelaide
25311825f235cade2c91b3f9a8cb2406c20f0991	OTR Glandore	1590969257	-37.82032013612172	140.80708080124575	2020-06-01	09:24:17	Mon	Australia/Adelaide
e46e2f7a8300ff5068a0cb19de22e6e050f28bd6	OTR Glandore	1590760516	-34.968875909356434	138.56091609459057	2020-05-29	23:25:16	Fri	Australia/Adelaide
03bdec3fb9064eaa88b36434df24eabb31d9a93e	OTR Glandore	1592113006	-35.03598849900494	138.51730628459418	2020-06-14	15:06:46	Sun	Australia/Adelaide
70e607db24c138c541637386708e33a70af0e891	OTR Glandore	1591948250	-35.006933392995826	138.51555581986185	2020-06-12	17:20:50	Fri	Australia/Adelaide
33b86bd3731592af5b316c1ec85056f46883adc7	OTR Glandore	1569913581	-34.998101151411795	138.55509325669746	2019-10-01	16:36:21	Tue	Australia/Adelaide
a5760969914efbfe3c950d9169921bd0e5a187f6	OTR Glandore	1595915340	-34.8183396451021	138.7047788111648	2020-07-28	15:19:00	Tue	Australia/Adelaide
fabf30c76e9fe6bd2e5704ff11ca72f75cb18b5b	OTR Glandore	1568678042	-34.96699073089649	138.56007587771322	2019-09-17	09:24:02	Tue	Australia/Adelaide
35a7b693bcf85a8bbc2d8f555da9a47316f60489	OTR Glandore	1592224113	-34.986996056700114	138.52679602290405	2020-06-15	21:58:33	Mon	Australia/Adelaide
e0f613aa90beeddfa12d65325f3d453f02ba7cde	OTR Glandore	1570789143	-34.887428446456205	138.58166038713077	2019-10-11	20:49:03	Fri	Australia/Adelaide
1a16a9235e484b589c3382a0c13fb8a8871a21b6	OTR Glandore	1597321346	-34.97801346725896	138.51156052879602	2020-08-13	21:52:26	Thu	Australia/Adelaide
0b57cda938926ab0460b423f344ed2f50092c7ce	OTR Glandore	1593819412	-34.96094235910997	138.56978973501157	2020-07-04	09:06:52	Sat	Australia/Adelaide
0b9ceb0f318c74cc122e197749bcb8a523c64d05	OTR Glandore	1590656008	-35.06760402603035	138.6564286914272	2020-05-28	18:23:28	Thu	Australia/Adelaide
71c690368685d68a4d7fc4cc6262f9d526b299a6	OTR Glandore	1568345284	-34.891475694365155	138.58620673317705	2019-09-13	12:58:04	Fri	Australia/Adelaide
344ce4ee754a976c1d0c169bb491dbf9fe3653bc	OTR Glandore	1596746564	-35.128167483006735	138.51276335598178	2020-08-07	06:12:44	Fri	Australia/Adelaide
2fa6925faa76e825dd12008ca897299b5fce9fb1	OTR Glandore	1594783582	-35.122526142318435	138.51136467194232	2020-07-15	12:56:22	Wed	Australia/Adelaide
0946f6f174ac0ed793dce99dfc9144b90a66fa85	OTR Glandore	1592973685	-34.97871358975889	138.6234776010339	2020-06-24	14:11:25	Wed	Australia/Adelaide
4b056193236d88b614984028af0f2c8762fd38be	OTR Glandore	1597031500	-34.953222990094424	138.55048105693425	2020-08-10	13:21:40	Mon	Australia/Adelaide
b15f6302c0cc585a0d0b0509be0339df574bd1ea	OTR Glandore	1569981561	-35.05632033500748	138.81160453777778	2019-10-02	11:29:21	Wed	Australia/Adelaide
57512ea9f1fde368153492fce8fbba69f573a3b0	OTR Glandore	1575537720			2019-12-05	19:52:00	Thu	Australia/Adelaide
bec3529b78f00e7eeb1b40362eb93a53715b6e4d	OTR Glandore	1572484142	-34.85377404902942	138.53685467221482	2019-10-31	11:39:02	Thu	Australia/Adelaide
a4e57b15e2d2e34918aaf19ca5d32c591f09b14d	OTR Glandore	1570101647	-34.857976584714116	138.47857374184264	2019-10-03	20:50:47	Thu	Australia/Adelaide
cee077d6d537f7fb134d6c4f0ff6f79566670659	OTR Glandore	1592113296	-34.98557452235236	138.60606475244208	2020-06-14	15:11:36	Sun	Australia/Adelaide
79aab697efbaad0ba46a8ea998fcf8786ee222e5	OTR Glandore	1592803678	-34.940244593330654	138.54913162881172	2020-06-22	14:57:58	Mon	Australia/Adelaide
c0f2fb182738a0519c59e463b301f060d12da00b	OTR Glandore	1594199827	-34.96441257902888	138.5386195911393	2020-07-08	18:47:07	Wed	Australia/Adelaide
6ea96d7e46eae2c8caef818524d900b847030558	OTR Glandore	1593215535	-34.91908041874878	138.56576212942164	2020-06-27	09:22:15	Sat	Australia/Adelaide
0466ba3599bab956ff8f3debcae2adc5d091e51c	OTR Glandore	1596184399	-34.983439152102925	138.56603974192828	2020-07-31	18:03:19	Fri	Australia/Adelaide
0ccc3c19ab63771f15be5cbc0696052a96baf4e3	OTR Glandore	1593554767	-35.09035177242446	138.58239651091728	2020-07-01	07:36:07	Wed	Australia/Adelaide
4e0f84faf6cf02beda5fb2b1fb7d6d2a336ea747	OTR Glandore	1590576430	-34.97767781170972	138.52776617267048	2020-05-27	20:17:10	Wed	Australia/Adelaide
f69b26cc2b7e87bd6f60ec3821f52bce9369539e	OTR Glandore	1596018664	-34.96961671111479	138.56253780358767	2020-07-29	20:01:04	Wed	Australia/Adelaide
