Polygon ID	Hashed Device ID	Generator Evening Lat	Generator Evening Long	Generator Daytime Lat	Generator Daytime Long
OTR Unley	5dcbb8343b7dbaafbe7f1b5fa767faa28e85126b	-34.874085055999998	138.51602696800001	-34.874353428571432	138.51626824675324
OTR Unley	e36f6f68a42714660bf71c3f6a0a9e3e63839699	-34.802254628975263	138.60733363957596	-34.58173540860215	138.48939674193548
OTR Unley	9dd7652f9cbdc4a4baf3fc312a35a0ae584964c5	-34.956886949367089	138.60264359493672	-34.955344584070794	138.60274038938053
OTR Unley	d137258bb4f417c6d8a2d2baefc2d7b2dc25fa39	-34.920160780303029	138.53136753787879	-34.920161759162305	138.53144621989529
OTR Unley	5d17890541f7e9a03919f79f57ca8ae6ef85f683	-34.957353829787237	138.59087368085108	-34.942648173913042	138.60744347826088
OTR Unley	eea37bfe338caa9a119557c96d32eadf61a6cf72	-34.524826873239434	138.7406274225352	-34.524687999999998	138.74069450880626
OTR Unley	32e2d44f37e1b2a5e55eafbf4b5e47944a1d5847	-34.951592652173915	138.61537024275361	-34.951185543209874	138.61528696913581
OTR Unley	9fd63ae79e18c040f7bdf0efa7806e103d3cfce7	-34.876940385416667	138.58432920833334	-34.876964267605636	138.58432016901409
OTR Unley	795fc2fd27c06af11fd7135cadccd3270ee5b344	-35.271178919708028	138.46434582481751	-35.271085640625003	138.46439520312501
OTR Unley	ea34b2f6584ed088832c7eb785c9feea37332591	-34.944809987577642	138.61071357142856	-34.945077955882354	138.61138585294117
OTR Unley	84b7e6b900eb8282d45b2cd482b0785691ee60ad	-34.964385224137928	138.61178287931034	-34.923220852459018	138.60289877049181
OTR Unley	347e66b328c64672e1a0152a80e75e75f9e94776	-35.097504141463418	138.52944352195121	-35.097433173913046	138.52949704347827
OTR Unley	1edf1df01efd5ea21530e051a10d7adacb63e080	-34.951566711111113	138.61554762222221	-34.951382273972605	138.61441919178083
OTR Unley	96e57b599f0db6259753201b20339297c1546c91			-34.982074270270267	138.59375013513514
OTR Unley	bcd7c8b617c9da7da0cd2940c3f6b8a783453084	-34.825442688427302	138.71559409198812	-34.824848145098038	138.71572186274508
OTR Unley	3b68fef3078a728ecf77e34e1712d1744df7ffa1	-34.990545854166669	138.59735765625001	-34.930994191489361	138.6168784680851
OTR Unley	9c0249e013010dcf3f1425ae3e3bf352d3c8f1eb	-34.951046384083043	138.60688015224915	-34.951234789473681	138.60669851716247
OTR Unley	1846b7093c71829ef563dc8c6c346bcae7273f58	-34.952694159292037	138.61587590707964	-34.951932933333332	138.61353012156863
OTR Unley	ed78f4217290bd0b140a827364b495f8416e3264	-34.942956275862066	138.6037577801724	-34.935225166666669	138.60122028260869
OTR Unley	e169c4e730a0965f79376532b029b3dfc953ad5f	-34.969391515789475	138.55170498947368	-34.969411766666667	138.55239420000001
OTR Unley	4bd6b894608cfd5193ba0183dbc4fbac5a0a9e93	-34.972787520710057	138.58737466863906	-34.929443370078744	138.60456680314959
OTR Unley	52867f1772c112cd3f1e43423dea7b98d1c5c8a9	-34.923566000000001	138.52219110204081	-34.913722117647062	138.51442552941177
OTR Unley	444af890d4ee75e2c286c29d4a59e1d45d7aa8cb	-34.926956822256571	138.63037536476043	-34.916220481092438	138.62382119327731
OTR Unley	336d960698fc10b2c01fcc2bf82fd145e23cfaee	-34.660493563165907	138.66682270776255	-34.660893006772007	138.666353006772
