Date	Polygon	Observed Devices
2020-04-14	Drakes Royal Park	9
2020-04-15	Drakes Royal Park	4
2020-04-16	Drakes Royal Park	5
2020-04-17	Drakes Royal Park	8
2020-04-18	Drakes Royal Park	4
2020-04-19	Drakes Royal Park	4
2020-04-20	Drakes Royal Park	8
2020-04-21	Drakes Royal Park	7
2020-04-22	Drakes Royal Park	8
2020-04-23	Drakes Royal Park	4
2020-04-24	Drakes Royal Park	8
2020-04-25	Drakes Royal Park	10
2020-04-26	Drakes Royal Park	11
2020-04-27	Drakes Royal Park	3
2020-04-28	Drakes Royal Park	7
2020-04-29	Drakes Royal Park	3
2020-04-30	Drakes Royal Park	5
2020-05-01	Drakes Royal Park	6
2020-05-02	Drakes Royal Park	12
2020-05-03	Drakes Royal Park	7
2020-05-04	Drakes Royal Park	6
2020-05-05	Drakes Royal Park	5
2020-05-06	Drakes Royal Park	5
2020-05-07	Drakes Royal Park	7
2020-05-08	Drakes Royal Park	5
2020-05-09	Drakes Royal Park	7
2020-05-10	Drakes Royal Park	7
2020-05-11	Drakes Royal Park	7
2020-05-12	Drakes Royal Park	5
2020-05-13	Drakes Royal Park	4
2020-05-14	Drakes Royal Park	3
2020-05-15	Drakes Royal Park	7
2020-05-16	Drakes Royal Park	11
2020-05-17	Drakes Royal Park	11
2020-05-18	Drakes Royal Park	5
2020-05-19	Drakes Royal Park	7
2020-05-20	Drakes Royal Park	7
2020-05-21	Drakes Royal Park	8
2020-05-22	Drakes Royal Park	11
2020-05-23	Drakes Royal Park	7
2020-05-24	Drakes Royal Park	3
2020-05-25	Drakes Royal Park	4
2020-05-26	Drakes Royal Park	11
2020-05-27	Drakes Royal Park	5
2020-05-28	Drakes Royal Park	9
2020-05-29	Drakes Royal Park	4
2020-05-30	Drakes Royal Park	13
2020-05-31	Drakes Royal Park	8
2020-06-01	Drakes Royal Park	4
2020-06-02	Drakes Royal Park	7
2020-06-03	Drakes Royal Park	5
2020-06-04	Drakes Royal Park	8
2020-06-05	Drakes Royal Park	5
2020-06-06	Drakes Royal Park	6
2020-06-07	Drakes Royal Park	4
2020-06-08	Drakes Royal Park	5
2020-06-09	Drakes Royal Park	14
2020-06-10	Drakes Royal Park	3
2020-06-11	Drakes Royal Park	6
2020-06-12	Drakes Royal Park	10
2020-06-13	Drakes Royal Park	8
2020-06-14	Drakes Royal Park	5
2020-06-15	Drakes Royal Park	9
2020-06-16	Drakes Royal Park	10
2020-06-17	Drakes Royal Park	4
2020-06-18	Drakes Royal Park	3
2020-06-19	Drakes Royal Park	4
2020-06-20	Drakes Royal Park	5
2020-06-21	Drakes Royal Park	4
2020-06-22	Drakes Royal Park	6
2020-06-23	Drakes Royal Park	3
2020-06-24	Drakes Royal Park	5
2020-06-25	Drakes Royal Park	4
2020-06-26	Drakes Royal Park	7
2020-06-27	Drakes Royal Park	6
2020-06-28	Drakes Royal Park	6
2020-06-29	Drakes Royal Park	5
2020-06-30	Drakes Royal Park	6
2020-07-01	Drakes Royal Park	3
2020-07-02	Drakes Royal Park	2
2020-07-03	Drakes Royal Park	3
2020-07-04	Drakes Royal Park	2
2020-07-05	Drakes Royal Park	5
2020-07-06	Drakes Royal Park	10
2020-07-07	Drakes Royal Park	4
2020-07-08	Drakes Royal Park	8
2020-07-09	Drakes Royal Park	4
2020-07-10	Drakes Royal Park	6
2020-07-11	Drakes Royal Park	8
2020-07-12	Drakes Royal Park	7
2020-07-13	Drakes Royal Park	8
2020-07-14	Drakes Royal Park	7
2020-07-15	Drakes Royal Park	4
2020-07-16	Drakes Royal Park	11
2020-07-17	Drakes Royal Park	7
2020-07-18	Drakes Royal Park	8
2020-07-19	Drakes Royal Park	2
2020-07-20	Drakes Royal Park	8
2020-07-21	Drakes Royal Park	6
2020-07-22	Drakes Royal Park	3
2020-07-23	Drakes Royal Park	11
2020-07-24	Drakes Royal Park	8
2020-07-25	Drakes Royal Park	6
2020-07-26	Drakes Royal Park	3
2020-07-27	Drakes Royal Park	8
2020-07-28	Drakes Royal Park	5
2020-07-29	Drakes Royal Park	10
2020-07-30	Drakes Royal Park	7
2020-07-31	Drakes Royal Park	6
2020-08-01	Drakes Royal Park	7
2020-08-02	Drakes Royal Park	7
2020-08-03	Drakes Royal Park	6
2020-08-04	Drakes Royal Park	10
2020-08-05	Drakes Royal Park	5
2020-08-06	Drakes Royal Park	5
2020-08-07	Drakes Royal Park	4
2020-08-08	Drakes Royal Park	4
2020-08-09	Drakes Royal Park	2
2020-08-10	Drakes Royal Park	9
2020-08-11	Drakes Royal Park	7
2020-08-12	Drakes Royal Park	4
2020-08-13	Drakes Royal Park	2
2020-08-14	Drakes Royal Park	4
2020-08-15	Drakes Royal Park	6
2020-08-16	Drakes Royal Park	7
2020-08-17	Drakes Royal Park	2
2020-08-18	Drakes Royal Park	5
2020-08-19	Drakes Royal Park	5
2020-08-20	Drakes Royal Park	6
2020-08-21	Drakes Royal Park	3
2020-08-22	Drakes Royal Park	7
2020-08-23	Drakes Royal Park	4
2020-08-24	Drakes Royal Park	5
2020-08-25	Drakes Royal Park	8
2020-08-26	Drakes Royal Park	5
2020-08-27	Drakes Royal Park	7
2020-08-28	Drakes Royal Park	8
2020-08-29	Drakes Royal Park	2
2020-08-30	Drakes Royal Park	8
2020-08-31	Drakes Royal Park	7
2020-09-01	Drakes Royal Park	5
2020-09-02	Drakes Royal Park	7
2020-09-03	Drakes Royal Park	9
2020-09-04	Drakes Royal Park	3
2020-09-05	Drakes Royal Park	5
2020-09-06	Drakes Royal Park	3
2020-09-07	Drakes Royal Park	5
2020-09-08	Drakes Royal Park	6
2020-09-09	Drakes Royal Park	4
2020-09-10	Drakes Royal Park	7
2020-09-11	Drakes Royal Park	3
2020-09-12	Drakes Royal Park	6
