Location	Bucket	Type	Visitor Count	Percentage
Drakes Royal Park	40401109405	Top CDL Census Block Group	9	0.82%
Drakes Royal Park	40402110124	Top CDL Census Block Group	9	0.82%
Drakes Royal Park	40101100147	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	40401109406	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	40401109511	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	40402110117	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	40402110127	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	Charles Sturt C	Top CEL Metro	532	48.23%
Drakes Royal Park	Port Adelaide Enfield C	Top CEL Metro	259	23.48%
Drakes Royal Park	Salisbury C	Top CEL Metro	52	4.71%
Drakes Royal Park	Marion C	Top CEL Metro	37	3.35%
Drakes Royal Park	Playford C	Top CEL Metro	37	3.35%
Drakes Royal Park	West Torrens C	Top CEL Metro	35	3.17%
Drakes Royal Park	Onkaparinga C	Top CEL Metro	26	2.36%
Drakes Royal Park	Tea Tree Gully C	Top CEL Metro	14	1.27%
Drakes Royal Park	Holdfast Bay C	Top CEL Metro	10	0.91%
Drakes Royal Park	Adelaide Hills DC	Top CEL Metro	7	0.63%
Drakes Royal Park	Campbelltown C SA	Top CEL Metro	7	0.63%
Drakes Royal Park	Unley C	Top CEL Metro	7	0.63%
Drakes Royal Park	Adelaide C	Top CEL Metro	5	0.45%
Drakes Royal Park	Barossa DC	Top CEL Metro	4	0.36%
Drakes Royal Park	Brisbane C	Top CEL Metro	4	0.36%
Drakes Royal Park	Gawler T	Top CEL Metro	4	0.36%
Drakes Royal Park	Mount Barker DC	Top CEL Metro	4	0.36%
Drakes Royal Park	Murray Bridge RC	Top CEL Metro	3	0.27%
Drakes Royal Park	Prospect C	Top CEL Metro	3	0.27%
Drakes Royal Park	Wakefield DC	Top CEL Metro	3	0.27%
Drakes Royal Park	Charles Sturt C	Top CDL Metro	503	45.98%
Drakes Royal Park	Port Adelaide Enfield C	Top CDL Metro	243	22.21%
Drakes Royal Park	Salisbury C	Top CDL Metro	53	4.84%
Drakes Royal Park	West Torrens C	Top CDL Metro	43	3.93%
Drakes Royal Park	Playford C	Top CDL Metro	39	3.56%
Drakes Royal Park	Marion C	Top CDL Metro	34	3.11%
Drakes Royal Park	Adelaide C	Top CDL Metro	31	2.83%
Drakes Royal Park	Onkaparinga C	Top CDL Metro	24	2.19%
Drakes Royal Park	Tea Tree Gully C	Top CDL Metro	11	1.01%
Drakes Royal Park	Holdfast Bay C	Top CDL Metro	10	0.91%
Drakes Royal Park	Campbelltown C SA	Top CDL Metro	7	0.64%
Drakes Royal Park	Mitcham C	Top CDL Metro	7	0.64%
Drakes Royal Park	Norwood Payneham St Peters C	Top CDL Metro	7	0.64%
Drakes Royal Park	Prospect C	Top CDL Metro	7	0.64%
Drakes Royal Park	Adelaide Hills DC	Top CDL Metro	6	0.55%
Drakes Royal Park	Unley C	Top CDL Metro	6	0.55%
Drakes Royal Park	Mount Barker DC	Top CDL Metro	5	0.46%
Drakes Royal Park	Brisbane C	Top CDL Metro	4	0.37%
Drakes Royal Park	Barossa DC	Top CDL Metro	3	0.27%
Drakes Royal Park	Light RegC	Top CDL Metro	3	0.27%
Drakes Royal Park	South Australia	Top CEL State	1074	97.37%
Drakes Royal Park	Victoria	Top CEL State	9	0.82%
Drakes Royal Park	Queensland	Top CEL State	7	0.63%
Drakes Royal Park	New South Wales	Top CEL State	5	0.45%
Drakes Royal Park	Northern Territory	Top CEL State	4	0.36%
Drakes Royal Park	Australian Capital Territory	Top CEL State	1	0.09%
Drakes Royal Park	British Columbia	Top CEL State	1	0.09%
Drakes Royal Park	IL	Top CEL State	1	0.09%
Drakes Royal Park	South Australia	Top CDL State	1068	97.62%
Drakes Royal Park	Victoria	Top CDL State	8	0.73%
Drakes Royal Park	Queensland	Top CDL State	5	0.46%
Drakes Royal Park	New South Wales	Top CDL State	4	0.37%
Drakes Royal Park	Northern Territory	Top CDL State	4	0.37%
Drakes Royal Park	Australian Capital Territory	Top CDL State	1	0.09%
Drakes Royal Park	British Columbia	Top CDL State	1	0.09%
Drakes Royal Park	IL	Top CDL State	1	0.09%
Drakes Royal Park	AUS	Top CEL Country	1100	99.73%
Drakes Royal Park	CAN	Top CEL Country	1	0.09%
Drakes Royal Park	IDN	Top CEL Country	1	0.09%
Drakes Royal Park	USA	Top CEL Country	1	0.09%
Drakes Royal Park	AUS	Top CDL Country	1091	99.73%
Drakes Royal Park	CAN	Top CDL Country	1	0.09%
Drakes Royal Park	IDN	Top CDL Country	1	0.09%
Drakes Royal Park	USA	Top CDL Country	1	0.09%
