Location	Bucket	Type	Visitor Count	Percentage
Drakes Royal Park	Glenelg (SA)	Top CEL Admin	8	0.73%
Drakes Royal Park	Fulham	Top CEL Admin	7	0.63%
Drakes Royal Park	Mawson Lakes - Globe Derby Park	Top CEL Admin	7	0.63%
Drakes Royal Park	Parafield Gardens	Top CEL Admin	7	0.63%
Drakes Royal Park	Royal Park - Hendon - Albert Park	Top CDL Admin	193	17.64%
Drakes Royal Park	Port Adelaide	Top CDL Admin	105	9.60%
Drakes Royal Park	Seaton - Grange	Top CDL Admin	93	8.50%
Drakes Royal Park	West Lakes	Top CDL Admin	58	5.30%
Drakes Royal Park	North Haven	Top CDL Admin	49	4.48%
Drakes Royal Park	Woodville - Cheltenham	Top CDL Admin	44	4.02%
Drakes Royal Park	Largs Bay - Semaphore	Top CDL Admin	43	3.93%
Drakes Royal Park	Flinders Park	Top CDL Admin	39	3.56%
Drakes Royal Park	The Parks	Top CDL Admin	32	2.93%
Drakes Royal Park	Beverley	Top CDL Admin	31	2.83%
Drakes Royal Park	Adelaide	Top CDL Admin	30	2.74%
Drakes Royal Park	Henley Beach	Top CDL Admin	28	2.56%
Drakes Royal Park	Lockleys	Top CDL Admin	16	1.46%
Drakes Royal Park	Hindmarsh - Brompton	Top CDL Admin	12	1.10%
Drakes Royal Park	Mawson Lakes - Globe Derby Park	Top CDL Admin	11	1.01%
Drakes Royal Park	Richmond (SA)	Top CDL Admin	11	1.01%
Drakes Royal Park	Enfield - Blair Athol	Top CDL Admin	9	0.82%
Drakes Royal Park	Plympton	Top CDL Admin	8	0.73%
Drakes Royal Park	Craigmore - Blakeview	Top CDL Admin	7	0.64%
Drakes Royal Park	Davoren Park	Top CDL Admin	7	0.64%
Drakes Royal Park	Charles Sturt C	Top CEL Municipality	532	48.23%
Drakes Royal Park	Port Adelaide Enfield C	Top CEL Municipality	259	23.48%
Drakes Royal Park	Salisbury C	Top CEL Municipality	52	4.71%
Drakes Royal Park	Marion C	Top CEL Municipality	37	3.35%
Drakes Royal Park	Playford C	Top CEL Municipality	37	3.35%
Drakes Royal Park	West Torrens C	Top CEL Municipality	35	3.17%
Drakes Royal Park	Onkaparinga C	Top CEL Municipality	26	2.36%
Drakes Royal Park	Tea Tree Gully C	Top CEL Municipality	14	1.27%
Drakes Royal Park	Holdfast Bay C	Top CEL Municipality	10	0.91%
Drakes Royal Park	Adelaide Hills DC	Top CEL Municipality	7	0.63%
Drakes Royal Park	Campbelltown C SA	Top CEL Municipality	7	0.63%
Drakes Royal Park	Unley C	Top CEL Municipality	7	0.63%
Drakes Royal Park	Adelaide C	Top CEL Municipality	5	0.45%
Drakes Royal Park	Barossa DC	Top CEL Municipality	4	0.36%
Drakes Royal Park	Brisbane C	Top CEL Municipality	4	0.36%
Drakes Royal Park	Gawler T	Top CEL Municipality	4	0.36%
Drakes Royal Park	Mount Barker DC	Top CEL Municipality	4	0.36%
Drakes Royal Park	Murray Bridge RC	Top CEL Municipality	3	0.27%
Drakes Royal Park	Prospect C	Top CEL Municipality	3	0.27%
Drakes Royal Park	Wakefield DC	Top CEL Municipality	3	0.27%
Drakes Royal Park	Charles Sturt C	Top CDL Municipality	503	45.98%
Drakes Royal Park	Port Adelaide Enfield C	Top CDL Municipality	243	22.21%
Drakes Royal Park	Salisbury C	Top CDL Municipality	53	4.84%
Drakes Royal Park	West Torrens C	Top CDL Municipality	43	3.93%
Drakes Royal Park	Playford C	Top CDL Municipality	39	3.56%
Drakes Royal Park	Marion C	Top CDL Municipality	34	3.11%
Drakes Royal Park	Adelaide C	Top CDL Municipality	31	2.83%
Drakes Royal Park	Onkaparinga C	Top CDL Municipality	24	2.19%
Drakes Royal Park	Tea Tree Gully C	Top CDL Municipality	11	1.01%
Drakes Royal Park	Holdfast Bay C	Top CDL Municipality	10	0.91%
Drakes Royal Park	Campbelltown C SA	Top CDL Municipality	7	0.64%
Drakes Royal Park	Mitcham C	Top CDL Municipality	7	0.64%
Drakes Royal Park	Norwood Payneham St Peters C	Top CDL Municipality	7	0.64%
Drakes Royal Park	Prospect C	Top CDL Municipality	7	0.64%
Drakes Royal Park	Adelaide Hills DC	Top CDL Municipality	6	0.55%
Drakes Royal Park	Unley C	Top CDL Municipality	6	0.55%
Drakes Royal Park	Mount Barker DC	Top CDL Municipality	5	0.46%
Drakes Royal Park	Brisbane C	Top CDL Municipality	4	0.37%
Drakes Royal Park	Barossa DC	Top CDL Municipality	3	0.27%
Drakes Royal Park	Light RegC	Top CDL Municipality	3	0.27%
Drakes Royal Park	North Vancouver	Top CEL Micro	1	0.09%
Drakes Royal Park	Columbia Shuswap F	Top CDL Micro	1	0.09%
Drakes Royal Park	40401109403	Top CEL Census Block Group	30	2.72%
Drakes Royal Park	40401109404	Top CEL Census Block Group	28	2.54%
Drakes Royal Park	40401109407	Top CEL Census Block Group	18	1.63%
Drakes Royal Park	40401109401	Top CEL Census Block Group	17	1.54%
Drakes Royal Park	40402110114	Top CEL Census Block Group	15	1.36%
Drakes Royal Park	40401109405	Top CEL Census Block Group	14	1.27%
Drakes Royal Park	40401109408	Top CEL Census Block Group	14	1.27%
Drakes Royal Park	40401109412	Top CEL Census Block Group	13	1.18%
Drakes Royal Park	40402110117	Top CEL Census Block Group	13	1.18%
Drakes Royal Park	40401109540	Top CEL Census Block Group	12	1.09%
Drakes Royal Park	40402110113	Top CEL Census Block Group	12	1.09%
Drakes Royal Park	40401109406	Top CEL Census Block Group	11	1.00%
Drakes Royal Park	40401109541	Top CEL Census Block Group	9	0.82%
Drakes Royal Park	40402110115	Top CEL Census Block Group	9	0.82%
Drakes Royal Park	40401109402	Top CEL Census Block Group	8	0.73%
Drakes Royal Park	40401109511	Top CEL Census Block Group	8	0.73%
Drakes Royal Park	40401109629	Top CEL Census Block Group	8	0.73%
Drakes Royal Park	40401109717	Top CEL Census Block Group	8	0.73%
Drakes Royal Park	40402110124	Top CEL Census Block Group	8	0.73%
Drakes Royal Park	40401109019	Top CEL Census Block Group	7	0.63%
Drakes Royal Park	40401109404	Top CDL Census Block Group	31	2.83%
Drakes Royal Park	40401109403	Top CDL Census Block Group	26	2.38%
Drakes Royal Park	40401109407	Top CDL Census Block Group	19	1.74%
Drakes Royal Park	40401109408	Top CDL Census Block Group	16	1.46%
Drakes Royal Park	40401109401	Top CDL Census Block Group	15	1.37%
Drakes Royal Park	40401109411	Top CDL Census Block Group	15	1.37%
Drakes Royal Park	40401109412	Top CDL Census Block Group	14	1.28%
Drakes Royal Park	40401109409	Top CDL Census Block Group	13	1.19%
Drakes Royal Park	40101100141	Top CDL Census Block Group	12	1.10%
Drakes Royal Park	40401109410	Top CDL Census Block Group	12	1.10%
Drakes Royal Park	40402110113	Top CDL Census Block Group	12	1.10%
Drakes Royal Park	40402110114	Top CDL Census Block Group	12	1.10%
Drakes Royal Park	40401109540	Top CDL Census Block Group	10	0.91%
Drakes Royal Park	40401109405	Top CDL Census Block Group	9	0.82%
Drakes Royal Park	40402110124	Top CDL Census Block Group	9	0.82%
Drakes Royal Park	40101100147	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	40401109406	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	40401109511	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	40402110117	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	40402110127	Top CDL Census Block Group	8	0.73%
Drakes Royal Park	AUS	Top CEL Country	1100	99.73%
Drakes Royal Park	CAN	Top CEL Country	1	0.09%
Drakes Royal Park	IDN	Top CEL Country	1	0.09%
Drakes Royal Park	USA	Top CEL Country	1	0.09%
Drakes Royal Park	AUS	Top CDL Country	1091	99.73%
Drakes Royal Park	CAN	Top CDL Country	1	0.09%
Drakes Royal Park	IDN	Top CDL Country	1	0.09%
Drakes Royal Park	USA	Top CDL Country	1	0.09%
