Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
156 Port Road Albertson SA	1f3785eccb57dcb2c179b8182f9d64bbf32dc384	-34.770068838822404	138.62942038357897	AUS	40204104626		Salisbury C	Salisbury	South Australia		5108			10.194021164725125	-34.7699818388224	138.6294143836566	AUS	40204104626		Salisbury C	Salisbury	South Australia		5108			10.198392524667986
156 Port Road Albertson SA	2842c80b702d3d56b1a4387b5f112ef79329d001	-34.76070257452904	138.61528710875342	AUS	40204104410		Salisbury C	Paralowie	South Australia		5108			10.22115427869782	-34.91791857452904	138.53804325042802	AUS	40403110621		West Torrens C	Lockleys	South Australia		5032			2.827838202282974
156 Port Road Albertson SA	2a91b5bd96a38441bd9c2b55b180b94aea1b5001	-34.737518407971294	138.62501297495342	AUS	40204104809		Salisbury C	Salisbury North	South Australia		5108			11.864551330037102	-34.7375284079713	138.63787797495053	AUS	40204104802		Salisbury C	Salisbury North	South Australia		5111			12.270337029112602
156 Port Road Albertson SA	31d89af4367d8cf53810eec19fd6137bf834a4ac	-12.434497938048263	130.9225891982859	AUS	70102101209		Darwin C	Berrimah	Northern Territory		0828			1624.051546665591	-12.436890938048263	130.92562119577332	AUS	70102101209		Darwin C	Berrimah	Northern Territory		0828			1623.8365634078111
156 Port Road Albertson SA	b1e5fc065063e81dd82bc8a24dafc124382fd67a	-27.452886083412793	153.04898404815478	AUS	30503112819		Brisbane C	Newstead - Bowen Hills	Queensland		4005			1000.4991308213087	-27.46432308341279	153.02568607471574	AUS	30501111105		Brisbane C	Spring Hill	Queensland		4000			998.8725026635562
156 Port Road Albertson SA	a1a73b8e00df9d66e5e344418f437f53ab7e2aa6	-35.04807523886027	138.50915157389937	AUS	40302106010		Marion C	Marino - Seaview Downs	South Australia		5049			11.459228489903698	-35.048065238860275	138.5091535739032	AUS	40302106010		Marion C	Marino - Seaview Downs	South Australia		5049			11.458534618173719
156 Port Road Albertson SA	f6cb0b408bbda45c6a02c7d0bcb72825b97dc799	-34.9264789254407	138.52297879418214	AUS	40403110613		West Torrens C	Lockleys	South Australia		5032			3.0953577321154766	-34.898389925440696	138.6093727867264	AUS	40106102207		Walkerville M	Walkerville	South Australia		5081			5.563142627002704
156 Port Road Albertson SA	1aa0061b3a5dcd89ee966d6946669b447cec7979	-34.97872768798647	138.51602698614866	AUS	40301105731		Holdfast Bay C	Glenelg (SA)	South Australia		5045			6.661869302862125	-34.97868968798647	138.51576298592687	AUS	40301105731		Holdfast Bay C	Glenelg (SA)	South Australia		5045			6.6589066303030435
156 Port Road Albertson SA	08d2a49bc3e59c9b705b9556b5d2bddd01fc8cf8	-35.841892383852176	137.14822302221256	AUS	40701114503		Kangaroo Island DC	Kangaroo Island	South Australia		5223			101.65229827578561	-35.83513738385217	137.12871901505838	AUS	40701114503		Kangaroo Island DC	Kangaroo Island	South Australia		5223			102.1887238874733
156 Port Road Albertson SA	dc543d55c8caf0edfa4e1955d72550e4b7561b8a	-34.89887989408462	138.51581192495001	AUS	40401109525		Charles Sturt C	Seaton - Grange	South Australia		5023			1.146026295487583	-34.89888589408462	138.5158219249508	AUS	40401109525		Charles Sturt C	Seaton - Grange	South Australia		5023			1.1465095803406171
