Location	Bucket	Type	Visitor Count	Percentage
OTR Wayville	Mitchell Park	Top CEL Admin	38	1.37%
OTR Wayville	Toorak Gardens	Top CEL Admin	37	1.33%
OTR Wayville	Sheidow Park - Trott Park	Top CEL Admin	33	1.19%
OTR Wayville	Morphettville	Top CEL Admin	32	1.15%
OTR Wayville	Glenelg (SA)	Top CEL Admin	30	1.08%
OTR Wayville	Hindmarsh - Brompton	Top CEL Admin	30	1.08%
OTR Wayville	Richmond (SA)	Top CEL Admin	30	1.08%
OTR Wayville	Goodwood - Millswood	Top CDL Admin	311	11.55%
OTR Wayville	Adelaide	Top CDL Admin	242	8.99%
OTR Wayville	Colonel Light Gardens	Top CDL Admin	146	5.42%
OTR Wayville	Unley - Parkside	Top CDL Admin	104	3.86%
OTR Wayville	Plympton	Top CDL Admin	92	3.42%
OTR Wayville	Mitcham (SA)	Top CDL Admin	88	3.27%
OTR Wayville	Richmond (SA)	Top CDL Admin	52	1.93%
OTR Wayville	Toorak Gardens	Top CDL Admin	46	1.71%
OTR Wayville	Panorama	Top CDL Admin	42	1.56%
OTR Wayville	Bellevue Heights	Top CDL Admin	39	1.45%
OTR Wayville	Mitchell Park	Top CDL Admin	38	1.41%
OTR Wayville	Edwardstown	Top CDL Admin	37	1.37%
OTR Wayville	Norwood (SA)	Top CDL Admin	37	1.37%
OTR Wayville	Happy Valley	Top CDL Admin	35	1.30%
OTR Wayville	Seaford (SA)	Top CDL Admin	32	1.19%
OTR Wayville	The Parks	Top CDL Admin	31	1.15%
OTR Wayville	Blackwood	Top CDL Admin	30	1.11%
OTR Wayville	Burnside - Wattle Park	Top CDL Admin	30	1.11%
OTR Wayville	Enfield - Blair Athol	Top CDL Admin	30	1.11%
OTR Wayville	Hindmarsh - Brompton	Top CDL Admin	29	1.08%
OTR Wayville	Unley C	Top CEL Municipality	446	16.08%
OTR Wayville	Mitcham C	Top CEL Municipality	434	15.65%
OTR Wayville	Onkaparinga C	Top CEL Municipality	355	12.80%
OTR Wayville	Marion C	Top CEL Municipality	214	7.72%
OTR Wayville	Charles Sturt C	Top CEL Municipality	139	5.01%
OTR Wayville	West Torrens C	Top CEL Municipality	138	4.98%
OTR Wayville	Port Adelaide Enfield C	Top CEL Municipality	111	4.00%
OTR Wayville	Burnside C	Top CEL Municipality	99	3.57%
OTR Wayville	Salisbury C	Top CEL Municipality	96	3.46%
OTR Wayville	Tea Tree Gully C	Top CEL Municipality	93	3.35%
OTR Wayville	Adelaide C	Top CEL Municipality	82	2.96%
OTR Wayville	Campbelltown C SA	Top CEL Municipality	64	2.31%
OTR Wayville	Norwood Payneham St Peters C	Top CEL Municipality	61	2.20%
OTR Wayville	Holdfast Bay C	Top CEL Municipality	53	1.91%
OTR Wayville	Adelaide Hills DC	Top CEL Municipality	47	1.69%
OTR Wayville	Playford C	Top CEL Municipality	41	1.48%
OTR Wayville	Mount Barker DC	Top CEL Municipality	36	1.30%
OTR Wayville	Prospect C	Top CEL Municipality	25	0.90%
OTR Wayville	Alexandrina DC	Top CEL Municipality	17	0.61%
OTR Wayville	Gawler T	Top CEL Municipality	15	0.54%
OTR Wayville	Unley C	Top CDL Municipality	406	15.08%
OTR Wayville	Mitcham C	Top CDL Municipality	359	13.34%
OTR Wayville	Adelaide C	Top CDL Municipality	270	10.03%
OTR Wayville	Onkaparinga C	Top CDL Municipality	262	9.73%
OTR Wayville	Marion C	Top CDL Municipality	188	6.98%
OTR Wayville	West Torrens C	Top CDL Municipality	167	6.20%
OTR Wayville	Charles Sturt C	Top CDL Municipality	129	4.79%
OTR Wayville	Port Adelaide Enfield C	Top CDL Municipality	128	4.75%
OTR Wayville	Salisbury C	Top CDL Municipality	93	3.45%
OTR Wayville	Burnside C	Top CDL Municipality	91	3.38%
OTR Wayville	Norwood Payneham St Peters C	Top CDL Municipality	78	2.90%
OTR Wayville	Tea Tree Gully C	Top CDL Municipality	76	2.82%
OTR Wayville	Campbelltown C SA	Top CDL Municipality	55	2.04%
OTR Wayville	Holdfast Bay C	Top CDL Municipality	51	1.89%
OTR Wayville	Playford C	Top CDL Municipality	40	1.49%
OTR Wayville	Adelaide Hills DC	Top CDL Municipality	27	1.00%
OTR Wayville	Mount Barker DC	Top CDL Municipality	27	1.00%
OTR Wayville	Prospect C	Top CDL Municipality	18	0.67%
