Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
User Drawn Polygon	1d735070db4790c982852192fda06d0f9ad44186	-34.80874656274408	138.50357197723275	AUS	40402110023		Port Adelaide Enfield C	North Haven	South Australia		5017			4.9633315668945714	-34.80879756274408	138.5037999770533	AUS	40402110020		Port Adelaide Enfield C	North Haven	South Australia		5017			4.9562096742816735
User Drawn Polygon	3d064fc07ec77a1b87897b34c7c8470c07c24dba	-34.8846624002212	138.52783272893492	AUS	40401109010		Charles Sturt C	Beverley	South Australia		5011			0.505842022475793	-34.8845354002212	138.52782672902038	AUS	40401109010		Charles Sturt C	Beverley	South Australia		5011			0.49717364396535296
User Drawn Polygon	3e6931d6ca92c93d4bd4b2c5ba6b2e02695eed92	-34.95422007039546	138.55378568028735	AUS	40403110750		West Torrens C	Plympton	South Australia		5037			5.496479688433984	-34.95425307039546	138.55381668035406	AUS	40403110750		West Torrens C	Plympton	South Australia		5037			5.499136591938755
User Drawn Polygon	757ae31d83cd3eb0516ce19311251a48fce28988	-34.93369272158897	138.66104139015505	AUS	40103101107		Burnside C	Burnside - Wattle Park	South Australia		5066			8.443464454774587	-34.93367772158897	138.66104039016705	AUS	40103101107		Burnside C	Burnside - Wattle Park	South Australia		5066			8.442936362406643
User Drawn Polygon	1357537e2f8573f9c40a73a70a65761ade735006	-34.89411864111489	138.5972468389444	AUS	40106102118		Prospect C	Prospect	South Australia		5082			4.043145735409345	-34.88474464111489	138.51021684044582	AUS	40401109540		Charles Sturt C	Seaton - Grange	South Australia		5023			1.1785970762913973
User Drawn Polygon	2be4ce749aa9ccdfcf2b2190f521d0130eb35d9b	-34.858301357267344	138.49461676397317	AUS	40401109612		Charles Sturt C	West Lakes	South Australia		5020			2.3550954830762443	-34.84726735726735	138.6749887845225	AUS	40205105222		Tea Tree Gully C	Hope Valley - Modbury	South Australia		5088			8.54608591240118
User Drawn Polygon	d3911e84afffb4f639de26ff76e55e992ca32b8c	-34.88383369998388	138.4916260446935	AUS	40401109605		Charles Sturt C	West Lakes	South Australia		5021			2.1647952890410678	-34.88381169998388	138.49160404473312	AUS	40401109605		Charles Sturt C	West Lakes	South Australia		5021			2.1657056253568205
User Drawn Polygon	4650399f98dcb5cb625fab901b256f30ffb27ca0	-34.80198517026718	138.49586180970434	AUS	40402110030		Port Adelaide Enfield C	North Haven	South Australia		5017			5.545236952866583	-34.80197817026718	138.49584280967633	AUS	40402110030		Port Adelaide Enfield C	North Haven	South Australia		5017			5.546058145836014
User Drawn Polygon	d10880881c7012803ce92092878cc9b26c49d24c	-34.894282145892085	138.51709473941997	AUS	40401109516		Charles Sturt C	Seaton - Grange	South Australia		5023			1.3475136060189503	-34.86351214589209	138.58097974288603	AUS	40203103647		Port Adelaide Enfield C	Enfield - Blair Athol	South Australia		5084			3.1045134031593076
User Drawn Polygon	41c86b14c28d3b4ec81f693305be71b2258b7b98	-34.75334279069204	138.5946050986598	AUS	40204104423		Salisbury C	Paralowie	South Australia		5108			9.35636868297095	-34.73773479069204	138.598522134349	AUS	40204104839		Salisbury C	Salisbury North	South Australia		5110			10.437814949161485
