Date	Polygon	Observed Devices
2020-04-12	User Drawn Polygon	7
2020-04-13	User Drawn Polygon	9
2020-04-14	User Drawn Polygon	4
2020-04-15	User Drawn Polygon	10
2020-04-16	User Drawn Polygon	6
2020-04-17	User Drawn Polygon	10
2020-04-18	User Drawn Polygon	7
2020-04-19	User Drawn Polygon	7
2020-04-20	User Drawn Polygon	10
2020-04-21	User Drawn Polygon	5
2020-04-22	User Drawn Polygon	4
2020-04-23	User Drawn Polygon	10
2020-04-24	User Drawn Polygon	16
2020-04-25	User Drawn Polygon	7
2020-04-26	User Drawn Polygon	11
2020-04-27	User Drawn Polygon	8
2020-04-28	User Drawn Polygon	6
2020-04-29	User Drawn Polygon	6
2020-04-30	User Drawn Polygon	8
2020-05-01	User Drawn Polygon	5
2020-05-02	User Drawn Polygon	9
2020-05-03	User Drawn Polygon	5
2020-05-04	User Drawn Polygon	8
2020-05-05	User Drawn Polygon	14
2020-05-06	User Drawn Polygon	15
2020-05-07	User Drawn Polygon	12
2020-05-08	User Drawn Polygon	7
2020-05-09	User Drawn Polygon	18
2020-05-10	User Drawn Polygon	13
2020-05-11	User Drawn Polygon	11
2020-05-12	User Drawn Polygon	15
2020-05-13	User Drawn Polygon	13
2020-05-14	User Drawn Polygon	8
2020-05-15	User Drawn Polygon	15
2020-05-16	User Drawn Polygon	7
2020-05-17	User Drawn Polygon	19
2020-05-18	User Drawn Polygon	10
2020-05-19	User Drawn Polygon	11
2020-05-20	User Drawn Polygon	9
2020-05-21	User Drawn Polygon	17
2020-05-22	User Drawn Polygon	10
2020-05-23	User Drawn Polygon	16
2020-05-24	User Drawn Polygon	8
2020-05-25	User Drawn Polygon	8
2020-05-26	User Drawn Polygon	13
2020-05-27	User Drawn Polygon	12
2020-05-28	User Drawn Polygon	6
2020-05-29	User Drawn Polygon	14
2020-05-30	User Drawn Polygon	11
2020-05-31	User Drawn Polygon	13
2020-06-01	User Drawn Polygon	7
2020-06-02	User Drawn Polygon	15
2020-06-03	User Drawn Polygon	14
2020-06-04	User Drawn Polygon	14
2020-06-05	User Drawn Polygon	12
2020-06-06	User Drawn Polygon	14
2020-06-07	User Drawn Polygon	8
2020-06-08	User Drawn Polygon	15
2020-06-09	User Drawn Polygon	8
2020-06-10	User Drawn Polygon	10
2020-06-11	User Drawn Polygon	11
2020-06-12	User Drawn Polygon	18
2020-06-13	User Drawn Polygon	15
2020-06-14	User Drawn Polygon	8
2020-06-15	User Drawn Polygon	11
2020-06-16	User Drawn Polygon	8
2020-06-17	User Drawn Polygon	18
2020-06-18	User Drawn Polygon	9
2020-06-19	User Drawn Polygon	10
2020-06-20	User Drawn Polygon	8
2020-06-21	User Drawn Polygon	11
2020-06-22	User Drawn Polygon	9
2020-06-23	User Drawn Polygon	14
2020-06-24	User Drawn Polygon	12
2020-06-25	User Drawn Polygon	9
2020-06-26	User Drawn Polygon	14
2020-06-27	User Drawn Polygon	10
2020-06-28	User Drawn Polygon	15
2020-06-29	User Drawn Polygon	15
2020-06-30	User Drawn Polygon	10
2020-07-01	User Drawn Polygon	7
2020-07-02	User Drawn Polygon	13
2020-07-03	User Drawn Polygon	15
2020-07-04	User Drawn Polygon	8
2020-07-05	User Drawn Polygon	18
2020-07-06	User Drawn Polygon	7
2020-07-07	User Drawn Polygon	10
2020-07-08	User Drawn Polygon	13
2020-07-09	User Drawn Polygon	15
2020-07-10	User Drawn Polygon	23
2020-07-11	User Drawn Polygon	15
2020-07-12	User Drawn Polygon	15
2020-07-13	User Drawn Polygon	17
2020-07-14	User Drawn Polygon	9
2020-07-15	User Drawn Polygon	12
2020-07-16	User Drawn Polygon	16
2020-07-17	User Drawn Polygon	13
2020-07-18	User Drawn Polygon	11
2020-07-19	User Drawn Polygon	16
2020-07-20	User Drawn Polygon	12
2020-07-21	User Drawn Polygon	11
2020-07-22	User Drawn Polygon	8
2020-07-23	User Drawn Polygon	12
2020-07-24	User Drawn Polygon	16
2020-07-25	User Drawn Polygon	9
2020-07-26	User Drawn Polygon	11
2020-07-27	User Drawn Polygon	10
2020-07-28	User Drawn Polygon	6
2020-07-29	User Drawn Polygon	8
2020-07-30	User Drawn Polygon	13
2020-07-31	User Drawn Polygon	9
2020-08-01	User Drawn Polygon	15
2020-08-02	User Drawn Polygon	7
2020-08-03	User Drawn Polygon	10
2020-08-04	User Drawn Polygon	15
2020-08-05	User Drawn Polygon	11
2020-08-06	User Drawn Polygon	12
2020-08-07	User Drawn Polygon	13
2020-08-08	User Drawn Polygon	11
2020-08-09	User Drawn Polygon	15
2020-08-10	User Drawn Polygon	19
2020-08-11	User Drawn Polygon	9
2020-08-12	User Drawn Polygon	11
2020-08-13	User Drawn Polygon	13
2020-08-14	User Drawn Polygon	11
2020-08-15	User Drawn Polygon	11
2020-08-16	User Drawn Polygon	13
2020-08-17	User Drawn Polygon	11
2020-08-18	User Drawn Polygon	9
2020-08-19	User Drawn Polygon	18
2020-08-20	User Drawn Polygon	9
2020-08-21	User Drawn Polygon	11
2020-08-22	User Drawn Polygon	9
2020-08-23	User Drawn Polygon	18
2020-08-24	User Drawn Polygon	11
2020-08-25	User Drawn Polygon	12
2020-08-26	User Drawn Polygon	17
2020-08-27	User Drawn Polygon	7
2020-08-28	User Drawn Polygon	18
2020-08-29	User Drawn Polygon	17
2020-08-30	User Drawn Polygon	19
2020-08-31	User Drawn Polygon	7
2020-09-01	User Drawn Polygon	13
2020-09-02	User Drawn Polygon	16
2020-09-03	User Drawn Polygon	12
2020-09-04	User Drawn Polygon	20
2020-09-05	User Drawn Polygon	16
2020-09-06	User Drawn Polygon	17
2020-09-07	User Drawn Polygon	10
2020-09-08	User Drawn Polygon	12
2020-09-09	User Drawn Polygon	13
2020-09-10	User Drawn Polygon	17
2020-09-11	User Drawn Polygon	13
2020-09-12	User Drawn Polygon	17
2020-09-13	User Drawn Polygon	14
2020-09-14	User Drawn Polygon	9
2020-09-15	User Drawn Polygon	10
2020-09-16	User Drawn Polygon	8
2020-09-17	User Drawn Polygon	10
2020-09-18	User Drawn Polygon	10
2020-09-19	User Drawn Polygon	12
2020-09-20	User Drawn Polygon	5
2020-09-21	User Drawn Polygon	8
2020-09-22	User Drawn Polygon	11
2020-09-23	User Drawn Polygon	13
2020-09-24	User Drawn Polygon	14
2020-09-25	User Drawn Polygon	8
2020-09-26	User Drawn Polygon	15
2020-09-27	User Drawn Polygon	8
2020-09-28	User Drawn Polygon	5
2020-09-29	User Drawn Polygon	15
2020-09-30	User Drawn Polygon	8
2020-10-01	User Drawn Polygon	12
2020-10-02	User Drawn Polygon	7
2020-10-03	User Drawn Polygon	10
2020-10-04	User Drawn Polygon	11
2020-10-05	User Drawn Polygon	6
2020-10-06	User Drawn Polygon	10
2020-10-07	User Drawn Polygon	9
2020-10-08	User Drawn Polygon	18
2020-10-09	User Drawn Polygon	10
2020-10-10	User Drawn Polygon	23
2020-10-11	User Drawn Polygon	12
2020-10-12	User Drawn Polygon	13
2020-10-13	User Drawn Polygon	9
2020-10-14	User Drawn Polygon	8
2020-10-15	User Drawn Polygon	15
2020-10-16	User Drawn Polygon	12
2020-10-17	User Drawn Polygon	8
2020-10-18	User Drawn Polygon	8
2020-10-19	User Drawn Polygon	14
2020-10-20	User Drawn Polygon	11
2020-10-21	User Drawn Polygon	14
2020-10-22	User Drawn Polygon	12
2020-10-23	User Drawn Polygon	15
2020-10-24	User Drawn Polygon	9
2020-10-25	User Drawn Polygon	9
2020-10-26	User Drawn Polygon	14
2020-10-27	User Drawn Polygon	12
2020-10-28	User Drawn Polygon	1
2020-10-29	User Drawn Polygon	1
